,DateTime,original,predict
0,2019-01-01,26.4,26.96184255251152
1,2019-01-02,26.3,26.598490005719995
2,2019-01-03,27.3,26.491211770502982
3,2019-01-04,26.9,27.563888534338087
4,2019-01-05,29.4,27.134836270001827
5,2019-01-06,32.0,29.81601622295919
6,2019-01-08,32.2,32.60345658607782
7,2019-01-09,28.4,32.81783571516922
8,2019-01-10,27.1,28.743656499571525
9,2019-01-11,26.6,27.34936656570325
10,2019-01-12,26.8,26.813033470754515
11,2019-01-13,24.7,27.0275695535896
12,2019-01-15,24.8,24.774603977803412
13,2019-01-16,25.9,24.881909835550534
14,2019-01-17,26.8,26.06210105981704
15,2019-01-18,27.8,27.0275695535896
16,2019-01-19,29.3,28.10016765514563
17,2019-01-20,33.1,29.70878011162838
18,2019-01-22,33.0,33.78246771743805
19,2019-01-23,29.3,33.67528503934846
20,2019-01-24,29.1,29.70878011162838
21,2019-01-25,25.9,29.49432377856987
22,2019-01-26,23.6,26.06210105981704
23,2019-01-27,24.2,23.594217017047146
24,2019-01-29,25.6,24.238090350550667
25,2019-01-30,26.6,25.740247555307
26,2019-01-31,25.6,26.813033470754515
27,2019-02-01,24.0,25.740247555307
28,2019-02-02,22.8,24.02347156526538
29,2019-02-03,24.6,22.73562789890096
30,2019-02-04,27.6,24.667310577268186
31,2019-02-10,24.9,27.885662382398323
32,2019-02-11,25.8,24.989215306047978
33,2019-02-12,25.0,25.954816913087946
34,2019-02-14,25.8,25.09650880919485
35,2019-02-15,28.5,25.954816913087946
36,2019-02-16,28.9,28.8508977539574
37,2019-02-17,27.2,29.279852576731486
38,2019-02-18,23.6,27.45662585354464
39,2019-02-19,20.7,23.594217017047146
40,2019-02-22,19.8,20.173227070514862
41,2019-02-23,17.4,19.192383811178523
42,2019-02-24,16.3,16.57592413688078
43,2019-02-26,17.8,15.376290414364972
44,2019-02-27,20.4,17.012090190600155
45,2019-02-28,20.8,19.846301403785773
46,2019-03-01,19.6,20.282198561435013
47,2019-03-02,19.8,18.974393872049006
48,2019-03-03,20.9,19.192383811178523
49,2019-03-05,21.1,20.391168901015337
