,DateTime,original,predict
2111,2019-01-01,16.0,17.588143871185355
2112,2019-01-02,17.4,18.13948060079004
2113,2019-01-03,16.9,18.65631364845669
2114,2019-01-04,17.3,19.14080231902272
2115,2019-01-05,23.3,19.594970783997187
2116,2019-01-06,19.2,20.020716538456796
2117,2019-01-08,20.4,20.41981832869353
2118,2019-01-09,18.4,20.776861983168896
2119,2019-01-10,16.5,21.130040880612615
2120,2019-01-11,21.4,21.461025005226897
2121,2019-01-12,16.9,21.77120914006508
2122,2019-01-13,17.2,22.061900416021096
2123,2019-01-15,18.9,22.334323820142075
2124,2019-01-16,20.4,22.58962735778278
2125,2019-01-17,30.0,20.776774388691805
2126,2019-01-18,31.8,21.129875251526695
2127,2019-01-19,28.0,21.460790045835417
2128,2019-01-20,21.0,21.7709127688818
2129,2019-01-22,22.3,22.061549830154974
2130,2019-01-23,23.4,22.333925554693135
2131,2019-01-24,21.7,22.589187340621937
2132,2019-01-25,24.5,22.00376484693886
2133,2019-01-26,23.3,22.288023391866457
2134,2019-01-27,20.4,22.55402823468692
2135,2019-01-29,18.0,22.80295153942685
2136,2019-01-30,19.5,23.035890199436388
2137,2019-01-31,22.4,23.253870670906224
2138,2019-02-01,22.6,23.457853495999604
2139,2019-02-02,21.9,22.841893744937536
2140,2019-02-03,22.4,23.06847928405996
2141,2019-02-04,22.1,23.280725394651444
2142,2019-02-10,18.8,23.47953954508526
2143,2019-02-11,17.6,23.665771774748105
2144,2019-02-12,15.3,23.840218328424076
2145,2019-02-14,17.4,24.003625060677223
2146,2019-02-15,18.6,17.962001283784257
2147,2019-02-16,16.0,18.488822142958117
2148,2019-02-17,16.3,18.982664818533262
2149,2019-02-18,16.2,19.445593694587377
2150,2019-02-19,14.9,19.879543927898304
2151,2019-02-22,16.4,20.286329537376236
2152,2019-02-23,16.8,20.66765098710978
2153,2019-02-24,14.3,17.39423037442316
2154,2019-02-26,17.9,17.951536743740782
2155,2019-02-27,18.1,18.474213474265525
2156,2019-02-28,21.5,18.964412366064547
2157,2019-03-01,19.8,19.424151511673237
2158,2019-03-02,20.6,19.8553236043504
2159,2019-03-03,21.6,20.259703730079
2160,2019-03-05,20.9,21.90196576496598
2161,2019-03-06,20.3,22.184961564427734
2162,2019-03-07,20.7,22.450179121530674
2163,2019-03-08,19.4,22.69873529349307
2164,2019-03-09,20.3,22.931676774801645
2165,2019-03-10,19.2,23.149984504945003
2166,2019-03-12,18.8,23.3545777992463
2167,2019-03-13,20.3,19.2753576512931
2168,2019-03-14,21.1,19.72094231247012
2169,2019-03-15,19.6,20.13861874985605
2170,2019-03-16,19.2,20.53013493420265
2171,2019-03-17,19.2,20.89712935592457
2172,2019-03-19,19.2,21.24113788216156
2173,2019-03-20,20.1,21.56360018436358
2174,2019-03-21,20.5,20.494838239028915
2175,2019-03-22,21.2,20.864924620295795
2176,2019-03-23,21.6,21.21181080319457
2177,2019-03-24,20.4,21.536951175758855
2178,2019-03-26,21.3,21.841708952467684
2179,2019-03-27,21.1,22.127361889788304
2180,2019-03-28,21.0,22.395107643419582
2181,2019-03-29,21.2,21.33977325197377
2182,2019-03-30,20.2,21.65820240419853
2183,2019-03-31,20.5,21.95662826437897
2184,2019-04-02,19.3,22.236307412479004
2185,2019-04-03,20.6,22.498417491795408
2186,2019-04-04,22.8,22.744062167653322
2187,2019-04-07,22.6,22.97427577460317
2188,2019-04-09,22.3,22.84049501080792
2189,2019-04-10,23.2,23.065849725024115
2190,2019-04-11,22.2,23.277017295814282
2191,2019-04-12,21.1,23.47489087085137
2192,2019-04-13,19.0,23.660307369944718
2193,2019-04-14,18.9,23.834051024849565
2194,2019-04-16,20.3,23.996856696228882
2195,2019-04-17,19.9,20.68390088282612
2196,2019-04-18,21.5,21.043656927111158
2197,2019-04-19,23.4,21.380786684268394
2198,2019-04-20,24.8,21.696713198822923
2199,2019-04-21,25.2,21.99277001516626
2200,2019-04-23,24.1,22.270206806525614
2201,2019-04-24,23.9,22.530194649908044
2202,2019-04-25,22.8,24.05989126689422
2203,2019-04-26,24.4,24.209703763624532
2204,2019-04-27,25.9,24.350072806990852
2205,2019-04-28,26.1,24.481593666502626
2206,2019-04-30,26.6,24.604824088765845
2207,2019-05-01,26.9,24.720286662744932
2208,2019-05-02,29.1,24.828471035929986
2209,2019-05-03,28.2,28.934424439332528
2210,2019-05-04,31.6,28.779318996352952
2211,2019-05-05,32.7,28.63402159651382
2212,2019-05-07,30.9,28.497912031340192
2213,2019-05-08,27.8,28.37040931104193
2214,2019-05-09,26.8,28.25096918453268
2215,2019-05-10,26.4,28.13908181626968
2216,2019-05-11,27.1,26.40473324373695
2217,2019-05-12,22.1,26.409164294684416
2218,2019-05-14,23.1,26.413312446267184
2219,2019-05-15,24.8,26.41719576012604
2220,2019-05-17,26.1,26.420831144760747
2221,2019-05-18,25.5,26.42423442915201
2222,2019-05-19,28.3,26.427420431683146
2223,2019-05-21,32.7,28.183520146222143
2224,2019-05-22,35.4,28.074471705419025
2225,2019-05-23,34.5,27.97238055355108
2226,2019-05-24,33.7,27.87680281568556
2227,2019-05-25,32.3,27.787322936103973
2228,2019-05-26,32.0,27.703551871536597
2229,2019-05-28,28.7,27.62512539966867
2230,2019-05-29,28.0,28.55859052359333
2231,2019-05-30,29.6,28.426278115532906
