,平均價,DateTime,predict,diff
0,10.9,2019-01-01,12.404610930217645,1.5046109302176447
1,11.6,2019-01-02,12.628420534390123,1.0284205343901238
2,10.2,2019-01-03,12.578318719745758,2.3783187197457583
3,10.2,2019-01-04,12.230798410432687,2.0307984104326877
4,8.9,2019-01-05,11.510293235737018,2.610293235737018
5,9.0,2019-01-06,11.145979962639933,2.1459799626399327
6,9.3,2019-01-08,11.598754880975068,2.2987548809750677
7,9.2,2019-01-09,11.977139514561298,2.7771395145612985
8,9.1,2019-01-10,12.07559238268491,2.97559238268491
9,8.1,2019-01-11,11.881688217588826,3.781688217588826
10,8.8,2019-01-12,11.311410980691221,2.5114109806912204
11,9.2,2019-01-13,11.096996671130876,1.8969966711308768
12,9.5,2019-01-15,12.23804287650989,2.7380428765098905
13,10.0,2019-01-16,12.751682845450855,2.751682845450855
14,8.5,2019-01-17,12.98323962405118,4.48323962405118
15,8.8,2019-01-18,12.91093333422833,4.11093333422833
16,9.0,2019-01-19,12.466551512523033,3.466551512523033
17,9.5,2019-01-20,12.36705620478462,2.8670562047846193
18,8.9,2019-01-22,13.942146005063467,5.042146005063467
19,9.3,2019-01-23,14.539309021704106,5.239309021704106
20,10.6,2019-01-24,14.847435308382694,4.247435308382695
21,9.8,2019-01-25,14.851667542229144,5.0516675422291435
22,8.9,2019-01-26,14.468584484629176,5.568584484629175
23,8.1,2019-01-27,14.424080872120939,6.324080872120939
24,8.0,2019-01-29,15.34472107176516,7.344721071765161
25,9.0,2019-01-30,15.969791760791429,6.969791760791429
26,8.7,2019-01-31,16.302716987120927,7.602716987120928
27,8.4,2019-02-01,16.308003147765653,7.908003147765653
28,7.3,2019-02-02,15.915655359191904,8.615655359191905
29,7.5,2019-02-03,15.84776393419866,8.34776393419866
30,9.6,2019-02-10,16.89079075011163,7.290790750111631
31,11.0,2019-02-11,15.994947560957543,4.994947560957543
32,14.0,2019-02-12,18.50289681020085,4.502896810200848
33,11.7,2019-02-14,19.036682658628425,7.336682658628426
34,10.5,2019-02-15,18.810494902193142,8.310494902193142
35,9.0,2019-02-16,18.17190724007785,9.17190724007785
36,9.3,2019-02-17,17.82779699580907,8.52779699580907
37,9.9,2019-02-18,16.901028836245686,7.001028836245686
38,7.4,2019-02-19,18.05514035693336,10.65514035693336
39,8.5,2019-02-22,18.09996642961249,9.59996642961249
40,7.1,2019-02-23,17.410225385862933,10.310225385862934
41,7.6,2019-02-24,17.060804002316228,9.460804002316229
42,8.5,2019-02-26,17.68573344486045,9.18573344486045
43,9.0,2019-02-27,18.065529185723108,9.065529185723108
44,9.7,2019-02-28,18.13645334920195,8.436453349201951
45,8.4,2019-03-01,17.883076173160614,9.483076173160613
46,9.4,2019-03-02,17.285900240036636,7.885900240036635
47,9.3,2019-03-03,17.052014711068598,7.752014711068597
48,10.7,2019-03-05,18.18838952788543,7.488389527885431
49,10.7,2019-03-06,18.713753289235143,8.013753289235144
50,9.1,2019-03-07,18.978345063669604,9.878345063669604
51,9.5,2019-03-08,18.949754861555107,9.449754861555107
52,10.8,2019-03-09,18.56624891263527,7.76624891263527
53,11.1,2019-03-10,18.54220623526796,7.442206235267962
54,11.6,2019-03-12,19.62907391767797,8.029073917677971
55,12.3,2019-03-13,20.33056239557545,8.030562395575448
56,13.3,2019-03-14,20.753120262635466,7.453120262635466
57,13.3,2019-03-15,20.873599982208574,7.573599982208574
58,13.5,2019-03-16,20.612163622638725,7.112163622638725
59,11.8,2019-03-17,20.686669849427734,8.886669849427733
60,11.3,2019-03-19,22.241360286019106,10.941360286019105
61,11.4,2019-03-20,22.95013549394616,11.55013549394616
62,11.3,2019-03-21,23.351308610791463,12.051308610791462
63,12.0,2019-03-22,23.409225442310596,11.409225442310596
64,11.8,2019-03-23,23.04797308945886,11.24797308945886
65,12.0,2019-03-24,22.983091001754502,10.983091001754502
66,12.1,2019-03-26,23.798613901370693,11.698613901370694
67,12.7,2019-03-27,24.284547599988297,11.584547599988298
68,11.9,2019-03-28,24.435707855708923,12.535707855708923
69,14.8,2019-03-29,24.228006501013517,9.428006501013517
70,13.8,2019-03-30,23.580549778162545,9.780549778162545
71,13.1,2019-03-31,23.221471553967238,10.121471553967238
72,13.1,2019-04-02,23.49680892477677,10.396808924776769
