,平均價,DateTime,predict,diff
0,50.4,2019-01-01,70.41582242187161,20.01582242187161
1,54.3,2019-01-02,67.99735454737065,13.69735454737065
2,50.4,2019-01-03,69.03289085599032,18.63289085599032
3,52.0,2019-01-04,69.7078672240915,17.7078672240915
4,52.7,2019-01-05,72.28462008080842,19.58462008080842
5,49.8,2019-01-06,71.51448350816986,21.714483508169863
6,49.5,2019-01-08,73.43913483695388,23.939134836953883
7,51.2,2019-01-09,71.16302137429457,19.96302137429457
8,51.0,2019-01-10,72.24051234212915,21.24051234212915
9,51.4,2019-01-11,72.90519261886341,21.50519261886341
10,49.7,2019-01-12,75.40475523020172,25.704755230201712
11,47.5,2019-01-13,74.49809514135842,26.99809514135842
12,52.1,2019-01-15,76.51692562513742,24.416925625137416
13,49.3,2019-01-16,73.93030247919503,24.630302479195038
14,50.6,2019-01-17,74.69605761419797,24.096057614197967
15,54.8,2019-01-18,75.01910877295336,20.219108772953362
16,56.3,2019-01-19,77.1771416428357,20.87714164283571
17,57.6,2019-01-20,75.9527689741603,18.352768974160306
18,56.9,2019-01-22,78.21995504607645,21.31995504607645
19,58.3,2019-01-23,75.36323723426777,17.063237234267774
20,62.5,2019-01-24,75.9152229346318,13.4152229346318
21,58.9,2019-01-25,76.07396119111793,17.173961191117932
22,63.1,2019-01-26,78.11718398215059,15.017183982150591
23,56.3,2019-01-27,76.82282276348968,20.522822763489685
24,63.2,2019-01-29,79.99460321414948,16.794603214149475
25,55.2,2019-01-30,77.19973589261956,21.999735892619555
26,59.2,2019-01-31,77.84235133371139,18.64235133371139
27,64.9,2019-02-01,78.0981676031604,13.1981676031604
28,67.5,2019-02-02,80.28752895676045,12.787528956760454
29,70.7,2019-02-03,79.11743943144592,8.417439431445914
30,58.3,2019-02-10,81.72181863125077,23.421818631250773
31,50.8,2019-02-11,74.40242064744766,23.60242064744766
32,51.2,2019-02-12,84.30860609339517,33.10860609339517
33,50.0,2019-02-14,82.02661380427935,32.02661380427935
34,50.2,2019-02-15,82.11637632441446,31.916376324414458
35,53.2,2019-02-16,84.03751659178494,30.837516591784933
36,53.5,2019-02-17,82.47072502179061,28.970725021790614
37,53.3,2019-02-18,73.1888439789836,19.8888439789836
38,53.0,2019-02-19,81.92279535166745,28.922795351667446
39,47.9,2019-02-22,78.73640080453517,30.836400804535167
40,43.6,2019-02-23,80.32787486535264,36.72787486535264
