,3_day_return,DateTime,predict,diff
0,0.2865329512893977,2019-01-01,-0.3943098648933775,0.6808428161827752
1,0.4310344827586299,2019-01-02,-0.1236708428760392,0.5547053256346691
2,0.2865329512893977,2019-01-03,-0.3755896402835368,0.6621225915729345
3,-0.4285714285714226,2019-01-04,-0.2544957075409464,0.1740757210304762
4,0.14306151645206988,2019-01-05,-0.3010907729721781,0.444152289424248
5,-0.5714285714285783,2019-01-06,-0.1009175464203006,0.4705110250082777
6,0.4304160688665569,2019-01-08,-0.13170233737595494,0.5621184062425119
7,0.14285714285713347,2019-01-09,0.1614335102892519,0.018576367432118435
8,0.0,2019-01-10,-0.07079475874266827,0.07079475874266827
9,-0.14285714285713347,2019-01-11,0.06376092040727876,0.20661806326441223
10,-0.28530670470754416,2019-01-12,0.03077643271274477,0.31608313742028893
11,0.5747126436781658,2019-01-13,0.23619562560953236,0.33851701806863344
12,0.14306151645206988,2019-01-15,0.14724709119475698,0.004185574742687104
13,0.28612303290413976,2019-01-16,0.4349097701212934,0.14878673721715363
14,0.14285714285713347,2019-01-17,0.19473705987789547,0.051879917020762
15,-0.4285714285714226,2019-01-18,0.31720099737074425,0.7457724259421669
16,-0.9985734664764492,2019-01-19,0.26979411435882394,1.2683675808352732
17,-0.14265335235377208,2019-01-20,0.4594653928022378,0.6021187451560099
18,0.2869440459110528,2019-01-22,0.3508732844572354,0.0639292385461826
19,1.0086455331411948,2019-01-23,0.6149155330838287,0.393730000057366
20,0.14285714285713347,2019-01-24,0.35099782079208564,0.20814067793495217
21,0.28612303290413976,2019-01-25,0.4455468015547112,0.15942376865057145
22,0.0,2019-01-26,0.3695175935519092,0.3695175935519092
23,0.14265335235379428,2019-01-27,0.5336449905468981,0.3909916381931038
24,0.14265335235379428,2019-01-29,0.3978252446854808,0.2551718923316865
25,-2.4251069900142475,2019-01-30,0.6356236157905946,3.0607306058048422
26,-0.8547008547008628,2019-01-31,0.34136277918965097,1.1960636338905137
27,-2.1367521367521403,2019-02-01,0.40887889182651416,2.5456310285786543
28,1.754385964912264,2019-02-02,0.305750003257229,1.448635961655035
29,0.4310344827586299,2019-02-03,0.4450611131990765,0.014026630440446608
30,0.5747126436781658,2019-02-10,0.2445263979130524,0.33018624576511335
31,0.14306151645206988,2019-02-11,0.6478796994704759,0.504818183018406
32,-1.7118402282453429,2019-02-12,0.012279581184778676,1.7241198094301216
33,-0.14285714285713347,2019-02-14,-0.0838625654669718,0.05899457739016167
34,-0.28571428571428914,2019-02-15,-0.032486477358407595,0.25322780835588155
35,1.741654571843232,2019-02-16,-0.1320370767875344,1.8736916486307664
36,0.4291845493562096,2019-02-17,-7.705782112432669e-05,0.4292616071773339
37,0.2865329512893977,2019-02-18,0.3061210459988395,0.019588094709441783
38,-0.28530670470754416,2019-02-19,-0.17058217387927027,0.11472453082827389
39,-0.4273504273504258,2019-02-22,-0.1845521032189584,0.24279832413146737
40,0.4285714285714226,2019-02-23,-0.2697068720036758,0.6982783005750984
41,0.14306151645206988,2019-02-24,-0.13464923780518628,0.27771075425725616
42,0.14306151645206988,2019-02-26,-0.3105870026967425,0.4536485191488124
43,-0.2844950213371278,2019-02-27,-0.08595496933270164,0.19854005200442615
44,0.4285714285714226,2019-02-28,-0.3869113218541637,0.8154827504255864
45,0.0,2019-03-01,-0.3346817696058748,0.3346817696058748
46,0.0,2019-03-02,-0.4289868419542946,0.4289868419542946
47,-0.9957325746799416,2019-03-03,-0.3079757414997417,0.6877568331801999
48,0.28571428571428914,2019-03-05,-0.5418706792819956,0.8275849649962848
49,-0.28530670470754416,2019-03-06,-0.3510485815627397,0.06574187685519556
50,0.5747126436781658,2019-03-07,-0.6808524315437927,1.2555650752219585
51,-0.5698005698005826,2019-03-08,-0.6679940474722208,0.09819347767163822
52,0.0,2019-03-09,-0.8033195937804161,0.8033195937804161
53,0.14285714285713347,2019-03-10,-0.7332313756633297,0.8760885185204632
54,0.5730659025787954,2019-03-12,-0.9959784349511775,1.569044337529973
55,0.28612303290413976,2019-03-13,-0.8598881839026695,1.1460112168068093
56,0.0,2019-03-14,-1.2421870289542492,1.2421870289542492
57,-0.2849002849002913,2019-03-15,-1.287490636481547,1.0025903515812558
58,0.2853067047075664,2019-03-16,-1.4748037860194343,1.7601104907270007
59,-0.14265335235377208,2019-03-17,-1.4550078645292874,1.3123545121755154
60,0.28571428571428914,2019-03-19,-1.7582462101074945,2.043960495821784
61,-0.4267425320056861,2019-03-20,-1.663630786579274,1.236888254573588
62,-0.14285714285713347,2019-03-21,-2.0785393670371297,1.9356822241799962
63,-0.2849002849002913,2019-03-22,-2.1494492040808453,1.864548919180554
64,0.0,2019-03-23,-2.3499460583130944,2.3499460583130944
65,-0.2861230329041509,2019-03-24,-2.3387184255825426,2.0525953926783918
66,0.0,2019-03-26,-2.5836068171056583,2.5836068171056583
67,0.0,2019-03-27,-2.4632923153421187,2.4632923153421187
68,0.4304160688665569,2019-03-28,-2.8374397116589374,3.2678557805254944
69,0.0,2019-03-29,-2.857798382576856,2.857798382576856
70,0.7142857142857117,2019-03-30,-2.994411294716814,3.7086970090025257
71,0.0,2019-03-31,-2.9104564115473623,2.9104564115473623
72,-0.28571428571428914,2019-04-02,-2.938758917707037,2.653044631992748
73,-0.9929078014184411,2019-04-03,-2.7185924342982117,1.7256846328797706
74,-0.28571428571428914,2019-04-04,-2.9832516005584737,2.6975373148441846
75,0.2865329512893977,2019-04-07,-2.7117820352004367,2.9983149864898344
76,0.4297994269340855,2019-04-09,-2.541941557152875,2.9717409840869604
