,平均價,DateTime,predict,diff
0,16.0,2019-01-01,18.54577896272553,2.5457789627255316
1,17.4,2019-01-02,18.27423283905463,0.8742328390546312
2,16.9,2019-01-03,18.347627439657504,1.4476274396575057
3,17.3,2019-01-04,18.378249880407342,1.0782498804073413
4,23.3,2019-01-05,18.36142801978045,4.93857198021955
5,19.2,2019-01-06,17.986577063282503,1.213422936717496
6,20.4,2019-01-08,18.007713912431605,2.392286087568394
7,18.4,2019-01-09,17.788326800133735,0.6116731998662637
8,16.5,2019-01-10,17.912299620855944,1.4122996208559435
9,21.4,2019-01-11,18.00118033189151,3.3988196681084872
10,16.9,2019-01-12,18.060757391834773,1.1607573918347747
11,17.2,2019-01-13,17.73437506060105,0.5343750606010502
12,18.9,2019-01-15,17.918130758780574,0.9818692412194245
13,20.4,2019-01-16,17.746774989616267,2.653225010383732
14,30.0,2019-01-17,17.915819678206418,12.084180321793582
15,31.8,2019-01-18,18.06339825188228,13.736601748117721
16,28.0,2019-01-19,18.150562689802047,9.849437310197953
17,21.0,2019-01-20,17.86152959108382,3.138470408916181
18,22.3,2019-01-22,18.667676533835714,3.632323466164287
19,23.4,2019-01-23,18.501821465190762,4.898178534809237
20,21.7,2019-01-24,18.6937658883859,3.0062341116140985
21,24.5,2019-01-25,18.834684224066123,5.665315775933877
22,23.3,2019-01-26,18.894344795491566,4.4056552045084345
23,20.4,2019-01-27,18.562719279409908,1.8372807205900905
24,18.0,2019-01-29,19.038948495484703,1.0389484954847035
25,19.5,2019-01-30,18.847168668068715,0.6528313319312851
26,22.4,2019-01-31,19.00129248121639,3.3987075187836098
27,22.6,2019-02-01,19.122984921406733,3.4770150785932685
28,21.9,2019-02-02,19.152274344334867,2.747725655665132
29,22.4,2019-02-03,18.792110178948427,3.6078898210515717
30,18.8,2019-02-10,18.90632920390357,0.10632920390357015
31,17.6,2019-02-11,16.88769853617887,0.7123014638211309
32,15.3,2019-02-12,18.99228289368788,3.692282893687878
33,17.4,2019-02-14,18.990213255258745,1.590213255258746
34,18.6,2019-02-15,19.134378050540914,0.5343780505409121
35,16.0,2019-02-16,19.185635391393426,3.1856353913934257
36,16.3,2019-02-17,18.85671721845196,2.5567172184519578
37,16.2,2019-02-18,16.967302851295788,0.7673028512957885
38,14.9,2019-02-19,18.78176679931517,3.881766799315171
39,16.4,2019-02-22,19.02759962469852,2.6275996246985223
40,16.8,2019-02-23,19.101670455750252,2.3016704557502514
41,14.3,2019-02-24,18.803431299385537,4.503431299385536
42,17.9,2019-02-26,18.802769995272858,0.902769995272859
43,18.1,2019-02-27,18.69817796904629,0.5981779690462901
44,21.5,2019-02-28,18.92535811162111,2.5746418883788884
45,19.8,2019-03-01,19.114368019170183,0.6856319808298181
46,20.6,2019-03-02,19.20653755578858,1.3934624442114227
47,21.6,2019-03-03,18.919387633118728,2.680612366881274
48,20.9,2019-03-05,19.16941519027313,1.7305848097268672
49,20.3,2019-03-06,19.071813395470016,1.2281866045299843
50,20.7,2019-03-07,19.30771096920988,1.3922890307901206
51,19.4,2019-03-08,19.490319886134838,0.09031988613483932
52,20.3,2019-03-09,19.57945928656584,0.7205407134341613
53,19.2,2019-03-10,19.28585316466984,0.08585316466984239
54,18.8,2019-03-12,19.49641179234518,0.6964117923451809
55,20.3,2019-03-13,19.378999049677788,0.9210009503222132
56,21.1,2019-03-14,19.59462133932741,1.5053786606725907
57,19.6,2019-03-15,19.749913506499066,0.14991350649906465
58,19.2,2019-03-16,19.817297355575658,0.6172973555756585
59,19.2,2019-03-17,19.495464927266873,0.2954649272668739
60,19.2,2019-03-19,19.55810450521178,0.35810450521178083
61,20.1,2019-03-20,19.412549096705614,0.687450903294387
62,20.5,2019-03-21,19.594294346387645,0.9057056536123547
63,21.2,2019-03-22,19.71087446420276,1.489125535797239
64,21.6,2019-03-23,19.745877293482405,1.8541227065175967
65,20.4,2019-03-24,19.392849379152807,1.0071506208471916
66,21.3,2019-03-26,19.526814856378728,1.7731851436212729
67,21.1,2019-03-27,19.355393089697763,1.7446069103022381
68,21.0,2019-03-28,19.510334606639592,1.4896653933604078
69,21.2,2019-03-29,19.60224503297696,1.5977549670230395
70,20.2,2019-03-30,19.61049301859925,0.5895069814007492
71,20.5,2019-03-31,19.231802599884645,1.2681974001153549
72,19.3,2019-04-02,19.397303735805927,0.09730373580592655
73,20.6,2019-04-03,19.219790756716627,1.3802092432833746
74,22.8,2019-04-04,19.37830621978501,3.4216937802149907
75,22.6,2019-04-07,19.17378022989428,3.426219770105721
76,22.3,2019-04-09,19.431338156953558,2.868661843046443
77,23.2,2019-04-10,19.323028788294828,3.876971211705172
78,22.2,2019-04-11,19.559309733464566,2.640690266535433
79,21.1,2019-04-12,19.73464307225347,1.3653569277465323
80,19.0,2019-04-13,19.85005058919269,0.8500505891926906
81,18.9,2019-04-14,19.609127443072218,0.7091274430722194
82,20.3,2019-04-16,20.07498659580852,0.22501340419147908
83,19.9,2019-04-17,20.069694336154548,0.16969433615454932
84,21.5,2019-04-18,20.401455078099687,1.098544921900313
85,23.4,2019-04-19,20.67009322342716,2.7299067765728395
86,24.8,2019-04-20,20.86913802965788,3.9308619703421215
87,25.2,2019-04-21,20.709854938654345,4.490145061345654
88,24.1,2019-04-23,21.3675008710007,2.732499128999301
89,23.9,2019-04-24,21.409153353766698,2.490846646233301
90,22.8,2019-04-25,21.777181675567647,1.0228183244323539
91,24.4,2019-04-26,22.066979778030877,2.3330202219691216
92,25.9,2019-04-27,22.270255915277374,3.629744084722624
93,26.1,2019-04-28,22.092951730867117,4.007048269132884
94,26.6,2019-04-30,22.65274071166206,3.9472592883379427
95,26.9,2019-05-01,22.607437706269856,4.292562293730143
96,29.1,2019-05-02,22.863166917382234,6.236833082617768
97,28.2,2019-05-03,23.03353519618045,5.166464803819551
98,31.6,2019-05-04,23.10435439410488,8.49564560589512
99,32.7,2019-05-05,22.764549505178408,9.935450494821595
100,30.9,2019-05-07,23.28385865149849,7.6161413485015075
101,27.8,2019-05-08,23.05295756322688,4.747042436773121
102,26.8,2019-05-09,23.12174514755884,3.6782548524411602
103,26.4,2019-05-10,23.093418311758747,3.306581688241252
104,27.1,2019-05-11,22.975552459352656,4.1244475406473455
105,22.1,2019-05-12,22.45942292195561,0.3594229219556091
106,23.1,2019-05-14,22.350056903077746,0.7499430969222551
107,24.8,2019-05-15,21.966230849604674,2.8337691503953266
108,26.1,2019-05-17,21.776910052330518,4.323089947669484
109,25.5,2019-05-18,21.58288887847213,3.9171111215278707
110,28.3,2019-05-19,21.00268607104347,7.29731392895653
111,32.7,2019-05-21,20.883558213309886,11.816441786690117
112,35.4,2019-05-22,20.536359106506943,14.863640893493056
113,34.5,2019-05-23,20.52290467942437,13.977095320575629
114,33.7,2019-05-24,20.477633747981674,13.222366252018329
115,32.3,2019-05-25,20.3783428792755,11.921657120724497
116,32.0,2019-05-26,19.91707034418989,12.082929655810108
117,28.7,2019-05-28,20.741450244472357,7.958549755527642
118,28.0,2019-05-29,20.519708993048827,7.480291006951173
119,29.6,2019-05-30,20.614293321369008,8.985706678630994
120,32.6,2019-05-31,20.668341194409187,11.931658805590814
121,37.0,2019-06-01,20.659251640265037,16.340748359734963
122,34.6,2019-06-02,20.275678201652852,14.32432179834715
123,35.6,2019-06-04,21.10492764589207,14.495072354107933
124,35.0,2019-06-05,20.915464630238308,14.084535369761692
125,37.1,2019-06-06,21.023301278797053,16.07669872120295
126,36.3,2019-06-07,21.06966136042847,15.230338639571528
127,30.0,2019-06-08,21.033932214614165,8.966067785385835
128,31.3,2019-06-11,21.3622095043756,9.937790495624402
129,30.8,2019-06-12,21.04109662281686,9.758903377183142
130,31.4,2019-06-13,21.00481736753387,10.395182632466128
131,29.6,2019-06-14,20.884726520321262,8.71527347967874
132,29.8,2019-06-15,20.656948384219305,9.143051615780696
133,27.2,2019-06-18,20.273335611299697,6.926664388700303
134,25.2,2019-06-19,19.786599489383175,5.413400510616825
135,21.7,2019-06-20,19.600378178863192,2.0996218211368074
136,20.9,2019-06-21,19.34009733114543,1.5599026688545692
137,18.5,2019-06-22,18.99914190979607,0.4991419097960694
138,17.5,2019-06-23,18.25314067013725,0.753140670137249
139,17.1,2019-06-25,18.05909260557149,0.9590926055714881
140,18.5,2019-06-26,17.591617030519696,0.9083829694803036
141,19.5,2019-06-27,17.45306199698158,2.0469380030184183
142,19.2,2019-06-28,17.2892062942007,1.9107937057992999
143,19.5,2019-06-29,17.077032855120972,2.4229671448790278
144,18.7,2019-06-30,16.498939906483418,2.201060093516581
145,21.6,2019-07-02,16.34385189001382,5.2561481099861815
146,21.4,2019-07-03,16.15346496833699,5.246535031663008
147,22.2,2019-07-04,16.312841867339266,5.887158132660733
148,22.4,2019-07-05,16.466663564322328,5.9333364356776706
149,23.0,2019-07-06,16.590873384445374,6.4091266155546265
150,22.2,2019-07-07,16.35858828814283,5.84141171185717
151,22.5,2019-07-09,17.551754811680645,4.948245188319355
152,23.1,2019-07-10,17.70374183367253,5.3962581663274705
153,22.0,2019-07-11,18.199175166158508,3.8008248338414923
154,22.5,2019-07-12,18.666401307024188,3.833598692975812
155,27.1,2019-07-13,19.087251180080603,8.012748819919398
156,27.3,2019-07-14,19.127457395171174,8.172542604828827
157,30.7,2019-07-16,20.656934609488534,10.043065390511465
158,32.2,2019-07-17,20.988355713650662,11.21164428634934
159,34.0,2019-07-18,21.618709806558307,12.381290193441693
160,36.6,2019-07-19,22.19109672394004,14.408903276059963
161,37.4,2019-07-20,22.690026896027078,14.70997310397292
