,平均價,DateTime,predict,diff
0,26.0,2019-01-01,23.414169715207446,2.5858302847925536
1,31.3,2019-01-02,23.17876319355641,8.12123680644359
2,30.2,2019-01-03,22.958029790164037,7.241970209835962
3,30.4,2019-01-04,22.250773202229134,8.149226797770865
4,29.8,2019-01-05,21.771556453423273,8.028443546576728
5,33.9,2019-01-06,21.78198581373488,12.118014186265118
6,33.1,2019-01-08,22.56870612899024,10.531293871009762
7,31.6,2019-01-09,22.349251413705115,9.250748586294886
8,28.2,2019-01-10,22.078383101244768,6.1216168987552315
9,25.8,2019-01-11,21.28393953327575,4.516060466724252
10,25.0,2019-01-12,20.673976391878526,4.326023608121474
11,24.6,2019-01-13,20.529516200223533,4.0704837997764685
12,26.0,2019-01-15,20.553444548535374,5.446555451464626
13,26.6,2019-01-16,20.089734302467804,6.510265697532198
14,25.7,2019-01-17,19.56063353384883,6.13936646615117
15,26.5,2019-01-18,18.516959526700386,7.983040473299614
16,26.3,2019-01-19,17.668669715574012,8.631330284425989
17,27.0,2019-01-20,17.297861984565447,9.702138015434553
18,29.0,2019-01-22,17.78795700313189,11.21204299686811
19,29.9,2019-01-23,17.18718344802247,12.712816551977529
20,27.7,2019-01-24,16.563749993703922,11.136250006296077
21,26.9,2019-01-25,15.480219043624587,11.419780956375412
22,26.2,2019-01-26,14.632733420940585,11.567266579059414
23,26.1,2019-01-27,14.315188455899207,11.784811544100794
24,24.1,2019-01-29,14.495734466965839,9.604265533034162
25,26.9,2019-01-30,14.067916380177829,12.83208361982217
26,27.2,2019-01-31,13.646416557779215,13.553583442220784
27,29.6,2019-02-01,12.814357778445231,16.78564222155477
28,25.1,2019-02-02,12.24870800099232,12.851291999007682
29,24.3,2019-02-03,12.243043777303338,12.056956222696662
30,20.8,2019-02-10,13.068398065468848,7.731601934531152
31,18.5,2019-02-11,15.752880814356676,2.7471191856433244
32,12.9,2019-02-12,14.042950930836913,1.1429509308369123
33,20.5,2019-02-14,14.384795061250625,6.115204938749375
34,21.9,2019-02-15,14.111529348497728,7.788470651502271
35,24.2,2019-02-16,14.038949090845005,10.161050909154994
36,20.4,2019-02-17,14.508897105074633,5.891102894925366
37,19.2,2019-02-18,17.544616630215593,1.6553833697844063
38,20.9,2019-02-19,16.022589637185163,4.877410362814835
39,22.1,2019-02-22,16.132822343384486,5.967177656615515
40,20.0,2019-02-23,16.026234201873706,3.973765798126294
41,19.5,2019-02-24,16.4256772474521,3.0743227525479
42,23.8,2019-02-26,17.302576902747777,6.497423097252224
43,21.5,2019-02-27,17.420828934513814,4.079171065486186
44,27.9,2019-02-28,17.503353073803545,10.396646926196453
45,30.2,2019-03-01,17.149255005127685,13.050744994872314
46,27.0,2019-03-02,16.964354985140755,10.035645014859245
47,27.5,2019-03-03,17.30214776711355,10.19785223288645
48,27.1,2019-03-05,18.77551985584966,8.324480144150343
49,26.4,2019-03-06,18.877717673626066,7.522282326373933
50,24.9,2019-03-07,18.979604023715925,5.920395976284073
51,28.6,2019-03-08,18.65699553466161,9.94300446533839
52,40.5,2019-03-09,18.51329909929517,21.98670090070483
53,38.1,2019-03-10,18.916363937232973,19.18363606276703
54,35.0,2019-03-12,20.455982963515478,14.544017036484522
55,31.2,2019-03-13,20.65862993037611,10.541370069623888
56,33.3,2019-03-14,20.863134748593808,12.43686525140619
57,30.6,2019-03-15,20.665748685548557,9.934251314451444
58,26.3,2019-03-16,20.67583722656014,5.62416277343986
59,27.8,2019-03-17,21.19037936202125,6.60962063797875
60,30.4,2019-03-19,23.338106180087603,7.061893819912395
61,30.6,2019-03-20,23.641838174027328,6.958161825972674
62,30.8,2019-03-21,23.941629258867373,6.858370741132628
63,28.2,2019-03-22,23.820309091027323,4.379690908972677
64,29.5,2019-03-23,23.89182277274082,5.60817722725918
65,27.0,2019-03-24,24.460231687158547,2.5397683128414528
66,31.1,2019-03-26,25.685749350149933,5.414250649850068
67,29.9,2019-03-27,25.989748484156426,3.910251515843573
68,30.6,2019-03-28,26.2668360655479,4.333163934452102
69,29.6,2019-03-29,26.09754096346453,3.5024590365354697
70,27.8,2019-03-30,26.112103519095612,1.6878964809043886
71,31.1,2019-03-31,26.595262642913408,4.504737357086594
72,31.4,2019-04-02,27.60799480050303,3.7920051994969697
73,31.7,2019-04-03,27.80187655113028,3.8981234488697183
74,33.0,2019-04-04,27.9619692195535,5.038030780446501
75,38.4,2019-04-07,27.881324496856013,10.518675503143985
76,33.5,2019-04-09,29.382936797302122,4.117063202697878
77,32.8,2019-04-10,29.43484853886215,3.365151461137849
78,29.1,2019-04-11,29.456895547693364,0.3568955476933624
79,27.8,2019-04-12,29.00763097906401,1.2076309790640103
80,30.3,2019-04-13,28.741467404067343,1.5585325959326575
81,34.0,2019-04-14,28.971938025338172,5.028061974661828
82,31.2,2019-04-16,28.75532370975497,2.444676290245031
83,30.6,2019-04-17,28.668527641276235,1.9314723587237665
84,35.3,2019-04-18,28.54438408025211,6.755615919747886
85,35.4,2019-04-19,27.9525932335116,7.447406766488399
86,35.9,2019-04-20,27.565394011661123,8.334605988338875
87,36.0,2019-04-21,27.69155857347126,8.308441426528741
88,35.4,2019-04-23,28.14599326406219,7.254006735937807
89,29.2,2019-04-24,27.94413254817957,1.2558674518204285
90,28.1,2019-04-25,27.7177252224301,0.3822747775699007
91,27.7,2019-04-26,27.01675328399446,0.683246716005538
92,28.2,2019-04-27,26.517321186459608,1.6826788135403916
93,22.5,2019-04-28,26.52560501750669,4.025605017506692
94,24.3,2019-04-30,26.886154508486513,2.586154508486512
95,24.4,2019-05-01,26.578830351029247,2.178830351029248
96,27.9,2019-05-02,26.265762508532138,1.6342374914678608
97,31.5,2019-05-03,25.491492002489203,6.008507997510797
98,34.5,2019-05-04,24.929059979422068,9.570940020577932
99,35.0,2019-05-05,24.86210073783611,10.137899262163891
100,33.1,2019-05-07,24.433720254365625,8.666279745634377
101,34.8,2019-05-08,24.09553217325397,10.704467826746026
102,29.6,2019-05-09,23.772318092632784,5.827681907367218
103,22.5,2019-05-10,22.994531365095696,0.4945313650956962
104,21.3,2019-05-11,22.437765642904782,1.1377656429047818
105,22.7,2019-05-12,22.38176065494391,0.31823934505608875
106,25.2,2019-05-14,22.052327302849985,3.147672697150014
107,25.7,2019-05-15,21.75084287480769,3.9491571251923077
108,25.4,2019-05-17,20.702938743154366,4.6970612568456325
109,25.1,2019-05-18,20.195884421950765,4.904115578049236
