DateTime,Original,Predict,Loss,Mean
2019-01-01,20.1,20.011662,0.0001422084895588194,0.34725238016558824
2019-01-02,20.1,20.19597,0.0001422084895588194,0.34725238016558824
2019-01-03,20.1,20.14861,0.0001422084895588194,0.34725238016558824
2019-01-04,20.1,20.007378,0.0001422084895588194,0.34725238016558824
2019-01-05,20.1,19.885649,0.0001422084895588194,0.34725238016558824
2019-01-06,20.0,19.828817,0.0001422084895588194,0.34725238016558824
2019-01-08,20.2,19.660925,0.0001422084895588194,0.34725238016558824
2019-01-09,20.1,19.63258,0.0001422084895588194,0.34725238016558824
2019-01-10,20.1,19.561798,0.0001422084895588194,0.34725238016558824
2019-01-11,20.1,19.546368,0.0001422084895588194,0.34725238016558824
2019-01-12,20.1,19.43281,0.0001422084895588194,0.34725238016558824
2019-01-13,20.0,19.349339,0.0001422084895588194,0.34725238016558824
2019-01-15,20.2,19.462807,0.0001422084895588194,0.34725238016558824
2019-01-16,20.1,19.527546,0.0001422084895588194,0.34725238016558824
2019-01-17,20.1,19.714205,0.0001422084895588194,0.34725238016558824
2019-01-18,20.1,19.65643,0.0001422084895588194,0.34725238016558824
2019-01-19,20.1,19.45212,0.0001422084895588194,0.34725238016558824
2019-01-20,20.0,19.433863,0.0001422084895588194,0.34725238016558824
2019-01-22,20.1,19.602043,0.0001422084895588194,0.34725238016558824
2019-01-23,20.1,19.610672,0.0001422084895588194,0.34725238016558824
2019-01-24,20.1,19.684732,0.0001422084895588194,0.34725238016558824
2019-01-25,20.1,19.77674,0.0001422084895588194,0.34725238016558824
2019-01-26,20.1,19.916515,0.0001422084895588194,0.34725238016558824
2019-01-27,20.0,19.842054,0.0001422084895588194,0.34725238016558824
2019-01-29,20.1,19.804604,0.0001422084895588194,0.34725238016558824
2019-01-30,20.1,19.712862,0.0001422084895588194,0.34725238016558824
2019-01-31,20.1,19.726955,0.0001422084895588194,0.34725238016558824
2019-02-01,20.1,19.787489,0.0001422084895588194,0.34725238016558824
2019-02-02,20.4,19.856977,0.0001422084895588194,0.34725238016558824
2019-02-03,20.0,19.944,0.0001422084895588194,0.34725238016558824
2019-02-04,20.3,19.980265,0.0001422084895588194,0.34725238016558824
2019-02-10,20.3,20.069788,0.0001422084895588194,0.34725238016558824
2019-02-11,20.0,19.860271,0.0001422084895588194,0.34725238016558824
2019-02-12,20.2,19.702774,0.0001422084895588194,0.34725238016558824
2019-02-14,20.1,19.733973,0.0001422084895588194,0.34725238016558824
2019-02-15,20.1,19.59556,0.0001422084895588194,0.34725238016558824
2019-02-16,20.1,19.321833,0.0001422084895588194,0.34725238016558824
2019-02-17,20.1,19.19516,0.0001422084895588194,0.34725238016558824
2019-02-18,20.3,19.29699,0.0001422084895588194,0.34725238016558824
2019-02-19,20.1,19.511902,0.0001422084895588194,0.34725238016558824
2019-02-22,20.1,19.615051,0.0001422084895588194,0.34725238016558824
2019-02-23,20.1,19.759207,0.0001422084895588194,0.34725238016558824
2019-02-24,20.1,19.512327,0.0001422084895588194,0.34725238016558824
2019-02-26,20.1,19.529747,0.0001422084895588194,0.34725238016558824
2019-02-27,20.1,19.789276,0.0001422084895588194,0.34725238016558824
2019-02-28,20.0,19.744303,0.0001422084895588194,0.34725238016558824
2019-03-01,20.1,19.673563,0.0001422084895588194,0.34725238016558824
2019-03-02,20.1,19.625528,0.0001422084895588194,0.34725238016558824
2019-03-03,20.1,19.604158,0.0001422084895588194,0.34725238016558824
2019-03-05,20.1,19.531416,0.0001422084895588194,0.34725238016558824
2019-03-06,20.1,19.695057,0.0001422084895588194,0.34725238016558824
2019-03-07,20.1,19.598042,0.0001422084895588194,0.34725238016558824
2019-03-08,20.1,19.743818,0.0001422084895588194,0.34725238016558824
2019-03-09,20.1,20.002638,0.0001422084895588194,0.34725238016558824
2019-03-10,20.0,20.033733,0.0001422084895588194,0.34725238016558824
2019-03-12,20.1,20.030977,0.0001422084895588194,0.34725238016558824
2019-03-13,20.1,20.08814,0.0001422084895588194,0.34725238016558824
2019-03-14,20.3,19.997648,0.0001422084895588194,0.34725238016558824
2019-03-15,20.1,20.131601,0.0001422084895588194,0.34725238016558824
2019-03-16,20.1,20.184725,0.0001422084895588194,0.34725238016558824
2019-03-17,20.1,20.043001,0.0001422084895588194,0.34725238016558824
2019-03-19,20.1,20.019537,0.0001422084895588194,0.34725238016558824
2019-03-20,20.1,20.05076,0.0001422084895588194,0.34725238016558824
2019-03-21,20.1,19.989628,0.0001422084895588194,0.34725238016558824
2019-03-22,20.1,20.069252,0.0001422084895588194,0.34725238016558824
2019-03-23,20.1,20.104647,0.0001422084895588194,0.34725238016558824
2019-03-24,20.1,20.008387,0.0001422084895588194,0.34725238016558824
2019-03-26,20.1,20.069832,0.0001422084895588194,0.34725238016558824
2019-03-27,20.1,20.188633,0.0001422084895588194,0.34725238016558824
2019-03-28,20.1,20.033318,0.0001422084895588194,0.34725238016558824
2019-03-29,20.1,19.795952,0.0001422084895588194,0.34725238016558824
2019-03-30,20.1,19.824335,0.0001422084895588194,0.34725238016558824
2019-03-31,20.1,19.909937,0.0001422084895588194,0.34725238016558824
2019-04-02,20.1,19.871922,0.0001422084895588194,0.34725238016558824
2019-04-03,20.2,19.97232,0.0001422084895588194,0.34725238016558824
2019-04-04,20.1,19.919127,0.0001422084895588194,0.34725238016558824
2019-04-07,20.1,19.679453,0.0001422084895588194,0.34725238016558824
2019-04-09,20.1,19.543179,0.0001422084895588194,0.34725238016558824
2019-04-10,20.1,19.573633,0.0001422084895588194,0.34725238016558824
