DateTime,Original,Predict,Loss,MSE,Mean
2019-01-01,26.9,29.19232,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-02,26.4,31.544243,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-03,26.3,29.218332,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-04,27.3,30.040482,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-05,26.9,36.360226,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-06,29.4,40.02521,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-08,32.0,51.041363,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-09,32.2,66.38515,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-10,28.4,74.61015,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-11,27.1,74.767715,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-12,26.6,69.119415,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-13,26.8,64.465256,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-15,24.7,61.884666,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-16,24.8,60.888985,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-17,25.9,63.42391,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-18,26.8,64.90127,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-19,27.8,64.69954,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-20,29.3,65.9702,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-22,33.1,68.52655,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-23,33.0,71.392365,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-24,29.3,71.30534,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-25,29.1,67.484634,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-26,25.9,66.83783,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-27,23.6,65.9256,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-29,24.2,61.849846,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-30,25.6,64.298065,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-01-31,26.6,62.54446,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-01,25.6,68.70171,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-02,24.0,69.64601,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-03,22.800000000000004,69.98439,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-04,24.6,68.43576,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-10,27.6,68.61569,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-11,24.9,67.59478,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-12,25.8,65.364975,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-14,25.0,66.8568,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-15,25.8,62.08417,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-16,28.5,59.952187,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-17,28.9,60.78365,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-18,27.2,68.1082,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-19,23.6,66.589874,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-22,20.7,64.675285,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-23,19.8,62.149258,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-24,17.4,60.894463,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-26,16.3,53.765533,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-27,17.8,48.387432,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-02-28,20.4,43.16055,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-01,20.8,43.53074,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-02,19.6,47.138474,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-03,19.8,44.263367,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-05,20.9,51.794174,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-06,21.1,58.12748,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-07,21.4,59.266533,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-08,22.7,52.947487,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-09,22.4,51.115837,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-10,23.4,42.53533,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-12,25.6,37.855083,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-13,26.1,38.621548,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-14,29.1,43.767483,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-15,29.3,50.33778,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-16,30.7,56.538177,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-17,30.1,63.034874,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-19,30.4,60.06273,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-20,33.2,60.858765,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-21,34.7,64.21825,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-22,32.5,61.748497,0.04124250016284228,0.04124250219838765,12.162017897538915
2019-03-23,31.6,57.48246,0.04124250016284228,0.04124250219838765,12.162017897538915
