DateTime,Original,Predict,Loss,Mean
2019-01-01,-2.7755575615628914e-17,-0.6740278,6.377383492736504e-05,1.240181260712716
2019-01-02,0.5000000000000115,1.5149148,6.377383492736504e-05,1.240181260712716
2019-01-03,-2.7755575615628914e-17,1.4059131,6.377383492736504e-05,1.240181260712716
2019-01-04,-2.7755575615628914e-17,0.52514154,6.377383492736504e-05,1.240181260712716
2019-01-05,-2.7755575615628914e-17,-1.487068,6.377383492736504e-05,1.240181260712716
2019-01-06,-0.49751243781095406,-1.6806788,6.377383492736504e-05,1.240181260712716
2019-01-08,0.4975124378109319,-1.1688144,6.377383492736504e-05,1.240181260712716
2019-01-09,-2.7755575615628914e-17,-0.58928525,6.377383492736504e-05,1.240181260712716
2019-01-10,0.5000000000000115,-1.601126,6.377383492736504e-05,1.240181260712716
2019-01-11,-0.49504950495048433,-1.7444748,6.377383492736504e-05,1.240181260712716
2019-01-12,-2.7755575615628914e-17,-0.8433378,6.377383492736504e-05,1.240181260712716
2019-01-13,-0.49751243781095406,-1.379227,6.377383492736504e-05,1.240181260712716
2019-01-15,0.4975124378109319,-1.8109252,6.377383492736504e-05,1.240181260712716
2019-01-16,-2.7755575615628914e-17,-2.0361729,6.377383492736504e-05,1.240181260712716
2019-01-17,0.5000000000000115,-0.24841389,6.377383492736504e-05,1.240181260712716
2019-01-18,-0.49504950495048433,-0.9653474,6.377383492736504e-05,1.240181260712716
2019-01-19,-2.7755575615628914e-17,-0.30856797,6.377383492736504e-05,1.240181260712716
2019-01-20,-0.49751243781095406,-1.3167983,6.377383492736504e-05,1.240181260712716
2019-01-22,-2.7755575615628914e-17,-0.49627855,6.377383492736504e-05,1.240181260712716
2019-01-23,-2.7755575615628914e-17,-1.2379023,6.377383492736504e-05,1.240181260712716
2019-01-24,0.5000000000000115,-1.1168516,6.377383492736504e-05,1.240181260712716
2019-01-25,-2.7755575615628914e-17,-2.1583254,6.377383492736504e-05,1.240181260712716
2019-01-26,-2.7755575615628914e-17,0.21873885,6.377383492736504e-05,1.240181260712716
2019-01-27,-0.49751243781095406,-1.0293125,6.377383492736504e-05,1.240181260712716
2019-01-29,-2.7755575615628914e-17,-1.4166454,6.377383492736504e-05,1.240181260712716
2019-01-30,-2.7755575615628914e-17,-0.7201154,6.377383492736504e-05,1.240181260712716
2019-01-31,0.5000000000000115,-0.59240735,6.377383492736504e-05,1.240181260712716
2019-02-01,-2.7755575615628914e-17,-0.6556691,6.377383492736504e-05,1.240181260712716
2019-02-02,1.492537313432818,-0.848987,6.377383492736504e-05,1.240181260712716
2019-02-03,-0.49751243781095406,-0.78434503,6.377383492736504e-05,1.240181260712716
2019-02-04,0.995024875621886,-2.0523713,6.377383492736504e-05,1.240181260712716
2019-02-10,-0.49019607843135965,-2.2566867,6.377383492736504e-05,1.240181260712716
2019-02-11,-2.7755575615628914e-17,-0.5697757,6.377383492736504e-05,1.240181260712716
2019-02-12,-0.4926108374384342,-1.9622519,6.377383492736504e-05,1.240181260712716
2019-02-14,-0.9852216748768461,-1.1268446,6.377383492736504e-05,1.240181260712716
2019-02-15,0.5000000000000115,0.6211033,6.377383492736504e-05,1.240181260712716
2019-02-16,-0.49504950495048433,-0.24808174,6.377383492736504e-05,1.240181260712716
2019-02-17,-2.7755575615628914e-17,0.36060154,6.377383492736504e-05,1.240181260712716
2019-02-18,0.995024875621886,-1.9813476,6.377383492736504e-05,1.240181260712716
2019-02-19,-2.7755575615628914e-17,-2.2728014,6.377383492736504e-05,1.240181260712716
2019-02-22,-2.7755575615628914e-17,-2.3663485,6.377383492736504e-05,1.240181260712716
2019-02-23,-0.9852216748768461,-1.1302506,6.377383492736504e-05,1.240181260712716
2019-02-24,-2.7755575615628914e-17,-0.016944006,6.377383492736504e-05,1.240181260712716
2019-02-26,-2.7755575615628914e-17,-1.0687891,6.377383492736504e-05,1.240181260712716
2019-02-27,-2.7755575615628914e-17,-0.6077423,6.377383492736504e-05,1.240181260712716
2019-02-28,-0.49751243781095406,-1.9755003,6.377383492736504e-05,1.240181260712716
2019-03-01,-2.7755575615628914e-17,-1.2564522,6.377383492736504e-05,1.240181260712716
2019-03-02,-2.7755575615628914e-17,-0.8021641,6.377383492736504e-05,1.240181260712716
2019-03-03,0.5000000000000115,-1.693216,6.377383492736504e-05,1.240181260712716
2019-03-05,-2.7755575615628914e-17,-1.6897234,6.377383492736504e-05,1.240181260712716
2019-03-06,-2.7755575615628914e-17,0.13714221,6.377383492736504e-05,1.240181260712716
2019-03-07,-2.7755575615628914e-17,-2.8367488,6.377383492736504e-05,1.240181260712716
2019-03-08,-2.7755575615628914e-17,-1.6746831,6.377383492736504e-05,1.240181260712716
2019-03-09,-2.7755575615628914e-17,0.79578984,6.377383492736504e-05,1.240181260712716
2019-03-10,-0.49751243781095406,-1.3871806,6.377383492736504e-05,1.240181260712716
2019-03-12,-2.7755575615628914e-17,-0.7543577,6.377383492736504e-05,1.240181260712716
2019-03-13,-2.7755575615628914e-17,-1.7877383,6.377383492736504e-05,1.240181260712716
2019-03-14,1.5000000000000124,-3.6301377,6.377383492736504e-05,1.240181260712716
2019-03-15,-2.7755575615628914e-17,-1.2285415,6.377383492736504e-05,1.240181260712716
2019-03-16,-2.7755575615628914e-17,-0.6572511,6.377383492736504e-05,1.240181260712716
2019-03-17,-0.9852216748768461,-1.3085324,6.377383492736504e-05,1.240181260712716
2019-03-19,-2.7755575615628914e-17,-1.8903844,6.377383492736504e-05,1.240181260712716
