date,Price_3,LSTM1_3,LSTM2_3,ARIMA_3,Prophet_3
2019-01-01,16.0,13.937179,18.890423000000002,17.588143871185355,18.54577896272553
2019-01-02,17.4,9.87575,18.586551999999998,18.139480600790037,18.27423283905463
2019-01-03,16.9,3.4178867,17.76146,18.656313648456692,18.347627439657504
2019-01-04,17.3,6.698129700000001,18.196151999999998,19.14080231902272,18.378249880407342
2019-01-05,23.3,10.956971000000001,18.795929,19.594970783997187,18.36142801978045
2019-01-06,19.2,14.733219,19.264843,20.0207165384568,17.986577063282503
2019-01-08,20.4,11.488565,19.679385999999997,20.41981832869353,18.007713912431605
2019-01-09,18.4,12.416179,18.718647,20.776861983168896,17.788326800133735
2019-01-10,16.5,13.715498,17.715687,21.130040880612615,17.912299620855944
2019-01-11,21.4,13.022364,17.492752,21.461025005226894,18.00118033189151
2019-01-12,16.9,19.18899,20.200186,21.77120914006508,18.060757391834773
2019-01-13,17.200000000000006,15.653813000000001,18.489822,22.061900416021093,17.73437506060105
2019-01-15,18.9,12.514289,17.753096,22.334323820142075,17.97571696660982
2019-01-16,20.4,13.541495999999999,18.194029999999998,22.589627357782785,17.797138999739655
2019-01-17,30.0,13.529487,18.300451000000002,20.776774388691805,17.967956905669226
2019-01-18,31.8,19.485542000000002,19.383978,21.12987525152669,18.11408117538793
2019-01-19,28.0,24.099869,18.052397,21.460790045835413,18.183067619992386
2019-01-20,21.0,21.026989999999998,17.564148,21.770912768881804,17.905540782113913
2019-01-22,22.3,19.410460999999998,17.732533,22.061549830154974,18.622861120430493
2019-01-23,23.4,17.706615,18.70394,22.33392555469313,18.46226307474113
2019-01-24,21.7,15.380644,19.186981,22.589187340621933,18.66189831020129
2019-01-25,24.5,19.22174,18.754665,22.003764846938857,18.79039962502852
2019-01-26,23.3,19.509268,18.889011,22.288023391866457,18.84492753795467
2019-01-27,20.4,18.383862,18.269775,22.554028234686925,18.522673133276893
2019-01-29,18.0,16.387686,18.32306,22.80295153942685,18.64906620888214
2019-01-30,19.5,15.967473000000002,18.530657,23.03589019943639,18.48057129392747
2019-01-31,22.4,19.17009,20.051551999999997,23.253870670906224,18.64524653483059
2019-02-01,22.6,21.467604,21.793295,23.457853495999604,18.77146660228793
2019-02-02,21.9,18.458733,21.646729999999998,22.841893744937533,18.83014766937016
2019-02-03,22.4,17.525284,20.27064,23.068479284059965,18.520522665342988
2019-02-04,22.1,23.03549,19.57153,23.280725394651448,
2019-02-10,18.8,24.323423000000002,18.750807000000002,23.479539545085263,18.520785882993568
2019-02-11,17.6,16.905773,18.251762,23.665771774748105,16.610635769238062
2019-02-12,15.3,14.911170000000002,18.376907,23.840218328424076,18.34687055922252
2019-02-14,17.4,12.954457000000001,18.275646,24.003625060677226,18.35024289870108
2019-02-15,18.6,13.341001,19.359364000000003,17.962001283784254,18.475515927359158
2019-02-16,16.0,15.248582999999998,21.347557000000002,18.48882214295812,18.54822400957115
2019-02-17,16.3,13.896733,20.847946,18.982664818533266,18.25906078084943
2019-02-18,16.2,14.720410000000001,19.452862,19.445593694587377,16.17740827082193
2019-02-19,14.9,15.722138000000001,18.391006,19.879543927898304,18.222561008040078
2019-02-22,16.4,17.222923,19.219845,20.28632953737624,18.388003558771388
2019-02-23,16.8,15.282917999999999,19.72205,20.66765098710978,18.46465827501001
2019-02-24,14.3,14.059341,19.556735999999997,17.39423037442316,18.187292645645343
2019-02-26,17.9,11.200784,18.507938,17.951536743740782,18.20605829645391
2019-02-27,18.1,18.8881,19.206789,18.47421347426552,18.061563894646113
2019-02-28,21.5,20.878489000000002,20.347433,18.964412366064547,18.25250899460829
2019-03-01,19.8,19.674088,22.403004,19.424151511673237,18.39165916617915
2019-03-02,20.6,22.237568,20.920334,19.8553236043504,18.48844915778029
2019-03-03,21.6,22.01366,17.43533,20.259703730079,18.215718444020666
2019-03-05,20.9,21.95097,18.02808,21.901965764965983,18.7675023809192
2019-03-06,20.3,26.383118,18.873112,22.184961564427734,18.619639202711998
2019-03-07,20.7,22.909904,20.864314999999998,22.450179121530677,18.82153945905879
2019-03-08,19.4,20.474585,20.462166,22.69873529349307,18.96296859725225
2019-03-09,20.3,24.068512,19.805506,22.931676774801645,19.059523220138594
2019-03-10,19.2,18.64494,19.15595,23.149984504945003,18.793522034281587
2019-03-12,18.8,18.115509,19.999535,23.3545777992463,18.917600146075824
2019-03-13,20.3,19.805533999999998,20.968748,19.275357651293103,18.769016535514353
2019-03-14,21.1,18.14547,22.350642999999998,19.72094231247012,18.964346209632076
2019-03-15,19.6,14.941948000000002,22.886478,20.13861874985605,19.104941617274328
2019-03-16,19.2,12.11825,21.334667,20.53013493420265,19.197322617921593
2019-03-17,19.2,12.294014,20.642001999999998,20.89712935592457,18.918242047935408
2019-03-19,19.2,14.311988000000001,19.922722,21.241137882161556,19.084352575615767
2019-03-20,20.1,17.274357000000002,20.314083,21.56360018436358,18.924753270990873
2019-03-21,20.5,20.759083,21.156551,20.494838239028915,19.09852500920109
2019-03-22,21.2,21.795901999999998,21.64449,20.864924620295795,19.21251138099563
2019-03-23,21.6,19.0849,20.673815,21.21181080319457,19.269503253938762
2019-03-24,20.4,16.348389,18.862316,21.53695117575885,18.958041164504788
2019-03-26,21.3,13.996278,17.698235999999998,21.841708952467684,19.081314118724602
2019-03-27,21.1,17.559089999999998,17.497683,22.127361889788304,18.877649906921533
2019-03-28,21.0,19.773796,18.447693,22.395107643419585,19.00989336622833
2019-03-29,21.2,22.609703,18.965519,21.33977325197377,19.088769996390177
