date,Price_4,LSTM1_4,LSTM2_4,ARIMA_4,Prophet_4
2019-01-01,10.9,16.037113,10.368143,10.581911290480546,12.404610930217645
2019-01-02,11.6,15.770883,11.7904,10.688638544711203,12.628420534390125
2019-01-03,10.2,14.794785000000001,13.81634,10.778611701908105,12.578318719745758
2019-01-04,10.2,14.604697,14.395012,10.909219649445543,12.230798410432687
2019-01-05,8.9,12.618195,11.827439,11.086325453458302,11.510293235737018
2019-01-06,9.0,10.459978,10.168192999999999,11.268324921990647,11.145979962639933
2019-01-08,9.3,7.7158679999999995,9.854287,11.414635113700399,11.598754880975068
2019-01-09,9.2,8.372708,9.297981,9.579904573346528,11.977139514561298
2019-01-10,9.1,7.314164,9.388301,9.679881568026753,12.07559238268491
2019-01-11,8.1,8.864464,9.724680000000001,9.703239291966726,11.881688217588826
2019-01-12,8.8,8.959557,9.058411999999999,9.797316900362901,11.311410980691221
2019-01-13,9.2,8.095137,10.534186,10.012209319299632,11.096996671130876
2019-01-15,9.5,7.5024652000000005,16.004932,10.27153758685112,12.23804287650989
2019-01-16,10.0,8.513003999999999,20.846031,10.468997169015225,12.751682845450855
2019-01-17,8.5,7.4859160000000005,19.844109,9.993893750611816,12.98323962405118
2019-01-18,8.8,6.9361369999999996,14.294073000000001,10.079430201833103,12.91093333422833
2019-01-19,9.0,8.403769500000001,11.128509,10.275714221393102,12.466551512523033
2019-01-20,9.5,8.600581,10.023025,10.524603972756516,12.36705620478462
2019-01-22,8.9,8.001368,12.87691,10.723850126778714,13.942146005063467
2019-01-23,9.3,7.1294336,13.965344,10.83554432292202,14.539309021704106
2019-01-24,10.6,8.451663,20.618834,10.909359511261695,14.847435308382694
2019-01-25,9.8,8.734987,13.627781,10.710194608137929,14.851667542229144
2019-01-26,8.9,8.431591000000001,11.704336999999999,10.838293310599582,14.468584484629176
2019-01-27,8.1,7.7010955999999995,9.823665,10.91467647473514,14.424080872120939
2019-01-29,8.0,7.914523,9.496283,11.021202144720805,15.34472107176516
2019-01-30,9.0,8.084021,10.045748,11.185015498685123,15.969791760791429
2019-01-31,8.7,8.316683,9.591377,11.372347157666507,16.302716987120927
2019-02-01,8.4,8.093703999999999,9.58832,11.531340470668685,16.308003147765653
2019-02-02,7.300000000000002,6.164735,12.92296,8.432958353856996,15.915655359191904
2019-02-03,7.5,7.534387599999999,13.511038000000001,8.5845601458963,15.84776393419866
2019-02-04,7.699999999999998,8.392581,14.260411999999999,8.88591504663408,
2019-02-10,9.6,8.76384,23.847998,9.189052566441653,16.89079075011163
2019-02-11,11.0,8.981694000000001,39.989944,9.372389227222943,15.994947560957543
2019-02-12,14.0,9.345467,46.689840000000004,9.447847446935727,18.502896810200852
2019-02-14,11.7,11.856464,44.774879999999996,9.524276109992966,19.036682658628425
2019-02-15,10.5,11.583855,40.834854,11.47647414800834,18.810494902193142
2019-02-16,9.0,10.927388,23.627758,11.580885205438536,18.17190724007785
2019-02-17,9.3,9.2457075,22.218214,12.123809861980812,17.82779699580907
2019-02-18,9.9,8.285984,20.869902,12.611249217325776,16.901028836245686
2019-02-19,7.4,9.879591,14.623729999999998,12.709848609860453,18.05514035693336
2019-02-22,8.5,10.412738000000001,13.059982000000002,12.514675573409836,18.09996642961249
2019-02-23,7.1,9.570457000000001,10.644053999999999,12.378406061891527,17.410225385862933
2019-02-24,7.6,8.442403,12.173528999999998,7.448802271421901,17.060804002316228
2019-02-26,8.5,6.824706,14.53009,7.725973804452188,17.68573344486045
2019-02-27,9.0,8.214145,12.915039,7.991296486307776,18.065529185723108
2019-02-28,9.7,8.335649499999999,12.131275,8.168671612077572,18.13645334920195
2019-03-01,8.4,8.262849000000001,17.953539000000003,8.288542121889078,17.883076173160614
2019-03-02,9.4,8.107837,21.066473000000002,8.425722725770301,17.285900240036636
2019-03-03,9.3,9.697092,29.919921999999996,8.62140356178163,17.052014711068598
2019-03-05,10.7,9.551924,36.061446999999994,9.536318520462524,18.18838952788543
2019-03-06,10.7,11.280611,40.84794,9.794377239331473,18.713753289235143
2019-03-07,9.1,11.969196,38.25196,9.997812206226932,18.978345063669604
2019-03-08,9.5,11.189378999999999,32.675262,10.1158071761846,18.94975486155511
2019-03-09,10.8,11.624802,24.631079,10.203174023312446,18.56624891263527
2019-03-10,11.1,10.68483,21.316828,10.330429539923996,18.54220623526796
2019-03-12,11.6,13.964270999999998,22.117243,10.514365193953095,19.62907391767797
2019-03-13,12.3,13.336282,20.822508,11.496078946234643,20.33056239557545
2019-03-14,13.3,12.549206,20.600676,11.443812302162804,20.753120262635466
2019-03-15,13.3,12.287962,18.384565,11.580808684223332,20.873599982208574
2019-03-16,13.5,12.179949,18.50357,11.867821054106926,20.612163622638725
2019-03-17,11.8,12.543280000000001,19.471231,12.126445479714205,20.686669849427734
2019-03-19,11.3,12.251288,19.383022,12.237440823427878,22.241360286019106
2019-03-20,11.4,12.238926,17.317385,12.24186550027433,22.95013549394616
2019-03-21,11.3,12.519192,18.651423,11.814791732552429,23.351308610791463
2019-03-22,12.0,12.342236,22.312447,12.012605429308113,23.4092254423106
2019-03-23,11.8,10.769997,24.921125,11.990175651017315,23.04797308945886
2019-03-24,12.0,9.578106,20.48215,11.93082562619767,22.983091001754502
2019-03-26,12.1,10.432578999999999,19.19003,12.017283759191393,23.798613901370693
2019-03-27,12.7,10.480961,19.082051999999997,12.257159950456488,24.284547599988297
2019-03-28,11.9,11.552696000000001,24.582155,12.509578160806198,24.435707855708927
2019-03-29,14.8,12.898150999999999,23.26932,12.047461193608385,24.228006501013517
