date,Price_9,LSTM1_9,LSTM2_9,ARIMA_9,Prophet_9
2019-01-01,26.0,22.861876000000002,23.97147,22.901349438676768,23.414169715207446
2019-01-02,31.3,19.730017,25.455662,23.896868942973647,23.17876319355641
2019-01-03,30.2,19.985209,28.56397,24.43588131368765,22.958029790164037
2019-01-04,30.4,22.033504,28.68924,24.50001983618739,22.250773202229134
2019-01-05,29.8,25.413652,33.96655,24.16875735117825,21.771556453423273
2019-01-06,33.9,28.03578,38.890232,23.600187504297168,21.78198581373488
2019-01-08,33.1,30.054739,45.111794,22.990785445284853,22.56870612899024
2019-01-09,31.6,32.05211,45.673584000000005,32.08628859134602,22.349251413705115
2019-01-10,28.2,29.145182000000002,40.659546,31.42595931833665,22.078383101244764
2019-01-11,25.8,28.762334999999997,36.95082,31.264792756457013,21.28393953327575
2019-01-12,25.0,27.934959999999997,38.840187,31.600623812410262,20.673976391878526
2019-01-13,24.6,27.239977000000003,43.8293,32.31988443122764,20.529516200223533
2019-01-15,26.0,24.931473,46.187218,33.2333542842126,20.319188945659736
2019-01-16,26.6,25.112811999999998,48.961983000000004,34.123746135152324,19.865534950703687
2019-01-17,25.7,26.792938,45.276534999999996,26.304185213508177,19.365588309886643
2019-01-18,26.5,24.438786,41.163000000000004,26.174442542038932,18.345693278623628
2019-01-19,26.3,27.775032,38.812473,26.337911617664105,17.522110349679814
2019-01-20,27.0,27.059052,34.468063,26.772207338641948,17.16343116479871
2019-01-22,29.0,26.746190999999996,34.58643,27.39004901102345,15.9527703616068
2019-01-23,29.9,26.023746,37.840813,28.069779750518173,15.379108599203992
2019-01-24,27.7,26.436768,35.952106,28.68529387029813,14.796404745351975
2019-01-25,26.9,25.583145000000002,35.937984,26.78689752266489,13.729717826255849
2019-01-26,26.2,24.807043,42.31195,26.34600423646459,12.895354933684526
2019-01-27,26.1,23.706505,38.737072,26.37828363706115,12.574351796348616
2019-01-29,24.1,24.631092000000002,42.461715999999996,26.85768130296492,13.146922754246436
2019-01-30,26.9,25.01286,39.4459,27.6684241326112,12.73570795524417
2019-01-31,27.2,26.653902000000002,44.1855,28.63101317262335,12.348760270909805
2019-02-01,29.6,24.962929000000003,52.808292,29.545994099743982,11.52353471242909
2019-02-02,25.1,22.847351,55.475243000000006,29.13847867282312,10.962466138630884
2019-02-03,24.3,22.945442,46.551605,28.624918458310532,10.941584454945245
2019-02-04,35.4,25.934336,50.514070000000004,28.417162375175764,
2019-02-10,20.8,33.127693,60.51375,28.573946800596318,11.255986335214043
2019-02-11,18.5,23.71416,28.165632000000002,29.05064129173116,14.193337734098375
2019-02-12,12.9,20.847424,23.541094,29.73394332755243,10.392742620470617
2019-02-14,20.5,17.729256,17.478516,30.473609853988943,10.887801848972185
2019-02-15,21.9,21.255306,18.822212,21.330591509924385,10.650120996668704
2019-02-16,24.2,25.178741,18.728378,21.761630085936126,10.634991002628317
2019-02-17,20.4,24.0716,21.118920000000003,22.280796711936542,11.1392917623144
2019-02-18,19.2,18.835345999999998,20.71143,22.86335401310588,13.373089554545414
2019-02-19,20.9,18.392927,30.242975,23.433772859029645,12.72597557218398
2019-02-22,22.1,22.118015,36.983326,23.92080814249671,12.855421588533245
2019-02-23,20.0,20.221931,34.713257,24.275651199973854,12.748507943786432
2019-02-24,19.5,17.310804,35.319027,19.577281712888922,13.097626065083391
2019-02-26,23.8,21.570509,31.123565999999997,19.50469670944145,13.574097340300765
2019-02-27,21.5,25.116505,33.536972,19.713796741836482,13.65734867288088
2019-02-28,27.9,21.668224,30.244232,20.190166540747168,13.75338469322838
2019-03-01,30.2,23.822115,37.14085,20.870589133363108,13.367593814447336
2019-03-02,27.0,25.567339,39.888059999999996,21.651512706431348,13.159435987790715
2019-03-03,27.5,25.14645,47.82375,22.41408921965952,13.442468893142712
2019-03-05,27.1,25.682774,52.577766000000004,26.663484762711825,14.172260222830715
2019-03-06,26.4,25.718481,47.841454,26.008126234662942,14.24156032035308
2019-03-07,24.9,25.43402,46.331455,25.797669856854373,14.334143828442885
2019-03-08,28.6,29.761734000000004,40.05669,26.08177503371117,13.933490125612495
2019-03-09,40.5,31.074270000000002,44.393223,26.788535937449325,13.747004915259238
2019-03-10,38.1,38.796257000000004,45.5364,27.757095275428075,14.079592942779946
2019-03-12,35.0,32.860405,45.13712,28.78043552113046,15.628491303662535
2019-03-13,31.2,34.745509999999996,41.53535,33.6678331452839,15.830119664211665
2019-03-14,33.3,32.85102,38.746970000000005,33.07753788458428,16.040617925396134
2019-03-15,30.6,33.08045,37.604557,32.909353328623936,15.792877020572305
2019-03-16,26.3,32.331856,46.358067,33.014471517782376,15.805861452001945
2019-03-17,27.8,28.747372,47.017426,33.29325893706865,16.281195304837567
2019-03-19,30.4,26.482449,47.67276,33.66863972273754,16.867326631751535
2019-03-20,30.6,28.139633,44.73794,34.080448151181706,17.202927686985692
2019-03-21,30.8,28.518697999999997,42.369009999999996,30.06211831875172,17.546476088517004
2019-03-22,28.2,30.863926,37.194595,29.779378528819198,17.384626593535778
2019-03-23,29.5,28.127243,36.542076,29.877711183936164,17.437694558156867
2019-03-24,27.0,27.292324,33.880646,30.320528999466877,17.987600462764146
2019-03-26,31.1,27.747131,30.803183,30.992412409114536,19.710394591305487
2019-03-27,29.9,28.929714,35.45422,31.73661276817511,20.06311232768207
2019-03-28,30.6,28.366629,37.546209999999995,32.39316311607398,20.392415075090696
2019-03-29,29.6,28.849184,32.594795,29.95714969856841,20.195953778028915
2019-03-30,27.8,25.92265,32.908592,29.532534280059565,20.205110697985337
