date,Price_7,LSTM1_7,LSTM2_7,LSTM2_fs_7,ARIMA_7,Prophet_7
2019-01-01,15.4,18.306126000000003,12.060986,19.199413,14.046539392262734,13.883995600299222
2019-01-02,17.8,19.036264000000003,12.574341,19.267210000000002,14.690233181823402,13.626089293816602
2019-01-03,14.8,21.596514000000003,13.694837,20.846066,15.544898936536555,13.43330823479515
2019-01-04,16.3,20.937883,12.804367,19.409695000000003,16.135238514056756,12.528218858452512
2019-01-05,14.3,14.725898999999998,14.957510000000001,18.654213000000002,16.687266758686075,12.11912115907397
2019-01-06,14.9,12.241673,16.759432,17.95836,17.14156975824643,12.730769562118207
2019-01-08,12.3,13.369081,21.800917000000002,15.085291,17.608228143800442,12.757795638572883
2019-01-09,11.2,12.7408495,21.214657,13.113297,12.901804412848618,12.585624585886213
2019-01-10,11.6,13.40061,16.805923,11.915689,13.044046365733864,12.451271122764675
2019-01-11,7.999999999999997,14.784398999999999,16.372803,11.423767999999999,14.11845440283892,11.618371528776633
2019-01-12,12.3,10.945808999999999,14.700479000000001,11.488552,14.978846451802756,11.265329089299009
2019-01-13,9.8,11.096272,15.984959,10.941044999999999,15.859616999084315,11.936656244122288
2019-01-15,11.8,11.776378999999999,17.132565,11.396428,16.451616977215135,11.720296327841186
2019-01-16,12.0,10.938736,17.095928,11.344451,16.88596624506297,11.648490645107673
2019-01-17,12.0,14.327195000000001,16.88926,12.323971,13.242997793719216,11.64798993412457
2019-01-18,12.8,13.113843,18.947426,13.001924,13.936392335041358,10.940345176698504
2019-01-19,10.6,15.726835999999999,18.34734,13.218993,14.810841149583569,10.760347648338614
2019-01-20,11.6,12.968419,17.94031,15.339507000000001,15.482921804135403,11.593836880554269
2019-01-22,12.9,12.4685,19.065832,12.153561,16.170512170526024,12.076510943682258
2019-01-23,15.8,15.648881,23.750559,15.00738,16.7975849078298,12.19258838090477
2019-01-24,13.1,19.311293,20.672499,15.467279999999999,17.426060548432247,12.384798431904875
2019-01-25,13.0,14.904145999999999,21.926176,15.157181,13.983830567210306,11.887370792092199
2019-01-26,16.9,11.981334,22.40691,14.7093,13.631996744785845,11.886741942132304
2019-01-27,13.0,14.474216,25.60555,15.208677,14.366089740551912,12.924582979642596
2019-01-29,15.6,16.33032,24.212515,18.211315,14.898959825103256,13.671038997763612
2019-01-30,14.0,17.737251,25.624914,18.842827,15.745973970363915,13.964442318602364
2019-01-31,15.5,12.45927,26.400986,14.191168,16.500160495981277,14.297352954017999
2019-02-01,15.6,7.693239,23.73847,11.494396,17.237119884107464,13.922371990012426
2019-02-02,13.0,10.432028,24.46247,13.269988,16.578707364583806,14.036856946296945
2019-02-03,13.9,10.030046,16.092403,13.096647,17.1824767389475,15.130418305692945
2019-02-04,24.4,8.535641,13.161207000000001,11.358879,17.93648426290503,
2019-02-10,17.4,14.380394,16.129517,13.458596,18.486863985195907,17.189041979010796
2019-02-11,20.5,15.296532000000001,16.703885999999997,12.6277685,18.968701075988708,14.0215493076675
2019-02-12,20.6,16.70038,17.465767,14.104160999999998,19.319697104178214,17.5539231625507
2019-02-14,18.4,18.749609,17.8145,14.338412,19.616283096285837,17.570649670589784
2019-02-15,18.8,14.687941,20.322826,14.080070000000001,18.29523760778357,16.80851786817811
2019-02-16,17.1,14.518317999999999,19.566545,15.749651,18.058981318990174,16.478914323024117
2019-02-17,15.7,11.258438,15.80163,15.176267999999999,18.650379387286247,17.111543345381147
2019-02-18,20.0,13.661919000000001,12.888785,12.446621,19.278349569703305,13.618693273497687
2019-02-19,19.6,17.550235999999998,11.895434,14.122972500000001,19.98601388200522,16.81872551502565
2019-02-22,18.8,16.597687,11.110608000000001,12.845581,20.454390373439967,15.207533452200911
2019-02-23,20.5,14.671667000000001,10.095214,12.780729,20.68831568024583,14.630054083637788
2019-02-24,18.2,17.481153,9.918151,14.008704000000002,20.697420456849766,15.04273379675933
2019-02-26,19.3,21.837107,11.712035,14.474364999999999,21.49935982296461,14.717359668061118
2019-02-27,18.3,17.154629,12.454113000000001,15.794398999999999,21.846646938808185,14.304575899996722
2019-02-28,16.9,17.929276,15.418675,16.087414000000003,22.24297274664979,13.951063846764931
2019-03-01,15.9,17.135042000000002,17.852087,13.651541,22.411441710623325,12.895656283979509
2019-03-02,14.6,14.976981,17.068493,13.124177,22.50279156104396,12.333354054082413
2019-03-03,13.5,14.104741,16.114597,12.118638,22.489610474322625,12.786182027040072
2019-03-05,14.9,10.975934,15.652975,11.332005,13.833179538567475,12.303706882067099
2019-03-06,15.4,11.884078,12.361491000000001,11.534037,14.511144545774222,12.040221744444349
2019-03-07,16.4,11.530033999999999,14.121045,12.484171,15.552649050499252,11.85292440595546
2019-03-08,17.2,15.890305,16.762375,14.735137,16.46040780577328,10.979665021315787
2019-03-09,20.7,15.456032,18.025,17.653423,17.149956803197092,10.616792581631447
2019-03-10,19.4,12.013819,21.322020000000002,21.51234,17.537369732067265,11.291964804376507
2019-03-12,32.0,15.528939999999999,23.295583999999998,27.100456,17.733883389447623,11.804386213606
2019-03-13,29.9,22.79101,22.84069,30.050545,32.88693955734089,11.771592364510553
2019-03-14,40.6,26.964171999999998,27.956684000000003,28.6651,36.04662914756528,11.80151491987068
2019-03-15,41.2,38.670456,32.941208,32.332115,35.35891021278626,11.132548945599728
2019-03-16,48.8,46.278503,42.367188,35.553543,34.92341970534103,10.967290946454797
2019-03-17,50.3,46.238068,49.525326,35.56711,33.59024792582873,11.804145961374488
2019-03-19,54.2,44.20321,45.294197,25.726448,32.66425720943053,14.156667744878561
