date,Price_5,LSTM1_5,LSTM2_5,LSTM2_fs_5,ARIMA_5,Prophet_5
2019-01-01,70.0,77.6531,67.94501,67.2536,69.81981854162412,57.06930247223092
2019-01-02,69.9,77.943375,65.36076,65.84359,69.83039232740724,57.10320488523536
2019-01-03,70.0,79.85171,66.96191999999999,64.416504,69.85645744693686,56.67385652595858
2019-01-04,69.7,78.48309,79.646835,64.963326,69.87031645965052,56.65264778088357
2019-01-05,70.0,76.38995,82.70125999999999,68.73818,69.88557678119238,56.472635426008104
2019-01-06,69.6,75.55879,96.04645500000001,81.43196,69.90102387714168,56.30891656724393
2019-01-08,70.0,74.88917,113.15801,106.952896,69.9158224373159,57.47837507374889
2019-01-09,70.1,75.93578000000001,158.84218,138.9931,69.97366269892761,57.5011890678604
2019-01-10,69.6,76.08294000000001,174.14348,143.95673,69.98659849285512,57.050893495831964
2019-01-11,69.9,75.1027,178.83424,142.00271999999998,70.02172131652213,56.99859749070652
2019-01-12,69.9,75.5626,176.44768,132.26628,70.03218385049017,56.78430561151091
2019-01-13,70.0,75.58254000000001,175.89476000000002,114.11062,70.04835714978616,56.59279240640392
2019-01-15,70.0,75.408066,170.06802,106.29321000000002,70.06410065863666,57.4444707623788
2019-01-16,70.1,73.9232,157.8357,125.839355,70.07874546148221,57.462860314293536
2019-01-17,70.1,73.81278,144.19075,123.63376000000001,70.11060058377595,57.003388924161605
2019-01-18,69.7,74.82475,142.9391,126.33591499999999,70.12902061828773,56.951606288138606
2019-01-19,69.4,75.39804000000001,140.99545,113.20011000000001,70.14829199449251,56.74252244093064
2019-01-20,70.0,75.47105400000001,131.71851999999998,93.07481999999999,70.16275265897488,56.55218114192122
2019-01-22,69.9,75.22057,129.24405,86.232834,70.17817911302701,56.93716542538478
2019-01-23,70.1,75.15089,132.30884,92.20297,70.19333930599309,56.962256269352324
2019-01-24,70.1,75.71809,132.88488999999998,106.86315,70.20829662049084,56.517973966100854
2019-01-25,70.1,76.55165,137.61005,109.38341000000001,70.11832730045758,56.483860801801576
2019-01-26,70.1,74.30629,133.66296,111.97487,70.14281416854394,56.301343798811466
2019-01-27,70.2,74.58304,129.63766,99.48294,70.15614899318233,56.15153377640557
2019-01-29,70.2,75.08521999999999,119.74453999999999,94.72986999999999,70.17192324535576,56.987715813593034
2019-01-30,68.4,76.18629,112.21831499999999,94.76265,70.18729822171233,57.064238162850046
2019-01-31,69.6,74.681885,120.50782,99.78884000000001,70.20219002797914,56.671420443680184
2019-02-01,68.7,72.0703,128.29146,102.987724,70.21725087881786,56.69907927351076
2019-02-02,69.6,73.92048,127.75102,97.32473,68.75693498052821,56.57929852042621
2019-02-03,69.9,73.71001,137.02612,97.3748,68.79292324979225,56.48174195998431
2019-02-04,70.1,72.2695,120.40085,123.75201000000001,68.7550409416076,
2019-02-10,70.0,74.12168,106.94276,137.08409,68.77802589599496,56.81506701574772
2019-02-11,70.0,75.859245,111.26451999999999,128.19461,68.79034915538537,55.44524959776922
2019-02-12,68.9,75.59895999999999,115.992935,116.55158999999999,68.80230538392351,55.944025181778
2019-02-14,69.9,76.02486,125.53913,102.49496500000001,68.81727457365882,55.71304610387188
2019-02-15,69.8,75.61604,134.80742,112.715065,69.76456686699227,55.74407547376586
2019-02-16,70.1,75.67008,130.72179,104.945755,69.77580150990863,55.59436664904868
2019-02-17,70.2,75.6214,138.12491,86.0396,69.84011433272258,55.49215493975812
2019-02-18,70.0,77.50325,136.37958,82.27646999999999,69.84128646852183,54.11947691777746
2019-02-19,69.9,76.07769,136.61621,82.87440500000001,69.85952867656744,57.06041021650877
2019-02-22,69.9,74.07996999999999,126.46446,79.4374,69.87621139013444,56.346081520416384
2019-02-23,70.3,75.21843,118.9474,78.33638,69.89023947794136,56.02366848386816
2019-02-24,70.0,74.54729499999999,107.03372,75.544655,70.26921750473727,55.708197888031606
2019-02-26,70.0,71.7817,98.73849,67.47193,70.3054541475816,55.11030574529422
2019-02-27,70.1,73.57544,91.48461,72.41906,70.33818318770531,54.91555326813725
2019-02-28,70.3,74.056015,94.70253000000001,97.19996,70.3498388454899,54.27971447064714
2019-03-01,70.0,74.96566,100.38685600000001,92.86719000000001,70.36725628763413,54.07864603275353
2019-03-02,70.1,74.33215,98.86419000000001,81.7876,70.38294276626516,53.67591368171636
2019-03-03,69.6,74.9799,105.016396,83.251595,70.39786724952941,53.28203209127938
2019-03-05,70.2,74.233665,107.14385,72.57075,69.65240110257625,54.117913880604384
2019-03-06,69.9,72.85194,105.65321999999999,73.787575,69.64490847278616,53.912818921666
2019-03-07,70.0,72.54042,98.92851999999999,68.20013399999999,69.63435117715241,53.24096458878026
2019-03-08,69.8,73.28808599999999,93.842964,71.34506999999999,69.65276592020568,52.977360211501924
2019-03-09,69.9,73.30471999999999,86.99854,78.87438,69.66473152942035,52.55943562420169
2019-03-10,70.1,72.632774,81.49848,91.36731,69.67848176235266,52.164933057156105
2019-03-12,70.2,71.73479499999999,79.371445,96.17061,69.6934064943133,52.41394405165658
2019-03-13,70.1,70.3608,82.77869,97.07847,70.21970667330591,52.2223217730902
2019-03-14,70.1,71.03546999999999,84.03209,92.76646,70.24863047276871,51.55108553739435
2019-03-15,70.0,70.48208000000001,91.862175,91.98861,70.26731569692673,51.28463022576002
2019-03-16,70.3,70.83639000000001,104.84238,86.276596,70.28288475305082,50.85454756032632
2019-03-17,70.0,72.03772,107.05236000000001,81.753975,70.2988270061955,50.434541315112455
2019-03-19,70.2,72.60417,108.15675,69.30212,70.31400920430494,50.53851891447349
