date,3_day_return_8,LSTM1_8,LSTM2_8,ARIMA_8,Prophet_8
2019-01-01,0.5000000000000115,1.1264561000000002,1.5149148000000001,0.26158665420245386,-0.30394654413971417
2019-01-02,0.0,1.046462,1.4059131,0.26158665420245386,-1.3960309609991546
2019-01-03,0.0,1.3807753,0.52514154,0.26158665420245386,-1.4980282660173023
2019-01-04,0.0,2.9076176,-1.487068,0.26158665420245386,-1.0847110896828316
2019-01-05,-0.4975124378109541,3.032016,-1.6806788000000001,0.26158665420245386,0.3099242517039229
2019-01-06,0.4975124378109319,1.8456736,-1.1688143999999998,0.26158665420245386,0.08006034300479717
2019-01-08,0.0,1.8346467,-0.58928525,0.26158665420245386,-0.4861339718102921
2019-01-09,0.5000000000000115,1.8758831000000002,-1.601126,0.2609572893894905,-1.4461185639062362
2019-01-10,-0.4950495049504844,2.1544125,-1.7444747999999999,0.2609572893894905,-1.4140327481391604
2019-01-11,0.0,2.0530396,-0.8433378,0.2609572893894905,-0.8679414725568069
2019-01-12,-0.4975124378109541,1.3318067,-1.379227,0.2609572893894905,0.6525299747764595
2019-01-13,0.4975124378109319,1.4006052,-1.8109252,0.2609572893894905,0.5507944598697957
2019-01-15,0.0,1.1322091,-2.0361729,0.2609572893894905,0.19492917964981998
2019-01-16,0.5000000000000115,1.4767398999999999,-0.24841389,0.2609572893894905,-0.6680256270590306
2019-01-17,-0.4950495049504844,0.23690839,-0.9653474,0.2609596300490884,-0.5606945378082354
2019-01-18,0.0,1.0231898000000001,-0.30856797,0.2609596300490884,0.04725487828430458
2019-01-19,-0.4975124378109541,0.7227412,-1.3167983,0.2609596300490884,1.6092397122847617
2019-01-20,0.0,1.5902996999999999,-0.49627855,0.2609596300490884,1.5289195153655886
2019-01-22,0.0,0.98478395,-1.2379023,0.2609596300490884,1.09224753026914
2019-01-23,0.5000000000000115,0.7805883000000001,-1.1168516000000002,0.2609596300490884,0.1925198236724021
2019-01-24,0.0,-0.45598125,-2.1583254000000003,0.2609596300490884,0.2447319793439621
2019-01-25,0.0,1.210048,0.21873885,0.2604879929626529,0.7803296085303031
2019-01-26,-0.4975124378109541,1.6697353,-1.0293125,0.2604879929626529,2.2541981330732583
2019-01-27,0.0,0.41629790000000005,-1.4166454,0.2604879929626529,2.0718801274626344
2019-01-29,0.0,0.7781873,-0.7201154000000001,0.2604879929626529,1.3869320840746222
2019-01-30,0.5000000000000115,2.2809854,-0.59240735,0.2604879929626529,0.3572056470917185
2019-01-31,0.0,2.1857877,-0.6556691,0.2604879929626529,0.2792026749866323
2019-02-01,1.4925373134328181,0.48476732,-0.848987,0.2604879929626529,0.6826163091029515
2019-02-02,-0.4975124378109541,-0.64712363,-0.78434503,0.2614277503235907,2.0299462217589004
2019-02-03,0.9950248756218859,-0.6748082,-2.0523713,0.2614277503235907,1.7241211415913589
2019-02-04,-0.4901960784313598,0.4824278,-2.2566867000000004,0.2614277503235907,
2019-02-10,0.0,0.14317416,-0.5697757,0.2614277503235907,0.8550226234492737
2019-02-11,-0.4926108374384342,0.40592290000000003,-1.9622519,0.2614277503235907,1.8162931059226004
2019-02-12,-0.985221674876846,2.6992578999999997,-1.1268446,0.2614277503235907,0.02105225739529504
2019-02-14,0.5000000000000115,4.5412935999999995,0.6211033,0.2614277503235907,-1.2195237978359257
2019-02-15,-0.4950495049504844,3.642433,-0.24808174,0.2602619779403234,-0.8374891314716196
2019-02-16,0.0,3.954564,0.36060154,0.2602619779403234,0.5201606801017629
2019-02-17,0.9950248756218859,2.1763492,-1.9813476000000003,0.2602619779403234,0.2440736991478042
2019-02-18,0.0,1.7075973000000002,-2.2728014,0.2602619779403234,1.3354908644242651
2019-02-19,0.0,1.0673513000000001,-2.3663485,0.2602619779403234,-0.4435600974721475
2019-02-22,-0.985221674876846,1.1905596,-1.1302506,0.2602619779403234,-1.0253779050525296
2019-02-23,0.0,2.2129588,-0.016944006,0.2602619779403234,0.41968802953714185
2019-02-24,0.0,2.7172165,-1.0687891,0.2604914517731612,0.2358786368763579
2019-02-26,0.0,5.040195,-0.6077423000000001,0.2604914517731612,-0.3112420704155097
2019-02-27,-0.4975124378109541,3.6467946,-1.9755003,0.2604914517731612,-1.2693784507077257
2019-02-28,0.0,4.715606,-1.2564521999999998,0.2604914517731612,-1.2471205462682715
2019-03-01,0.0,2.1984,-0.8021640999999999,0.2604914517731612,-0.7241981824883941
2019-03-02,0.5000000000000115,1.8623444,-1.693216,0.2604914517731612,0.7613572640897863
2019-03-03,0.0,0.6434481,-1.6897234,0.2604914517731612,0.6023374291219483
2019-03-05,0.0,2.1602085,0.13714221,0.2607220589224404,0.107548186396587
2019-03-06,0.0,1.5710075000000001,-2.8367487999999996,0.2607220589224404,-0.8494989741980933
2019-03-07,0.0,1.3142576000000001,-1.6746831000000002,0.2607220589224404,-0.8388974832249316
2019-03-08,0.0,2.5471182,0.79578984,0.2607220589224404,-0.3390746852396549
2019-03-09,-0.4975124378109541,3.0509253,-1.3871806,0.2607220589224404,1.1154910056115468
2019-03-10,0.0,4.9141736,-0.7543576999999999,0.2607220589224404,0.9219053379357875
2019-03-12,0.0,1.0330154,-1.7877383000000002,0.2607220589224404,0.30059014042570353
2019-03-13,1.5000000000000124,-0.6586573,-3.6301377,0.26048565230305504,-0.6952661192418226
2019-03-14,0.0,-1.4953046,-1.2285415000000002,0.26048565230305504,-0.7252049806485419
2019-03-15,0.0,-1.0814807,-0.6572511,0.26048565230305504,-0.2636450894680817
