date,Price_0,LSTM1_0,LSTM2_0,LSTM2_fs_0,ARIMA_0,Prophet_0
2019-01-01,26.4,26.483629999999998,32.51615,23.437027,26.96184255251152,35.338524164480994
2019-01-02,26.3,26.598309999999998,29.803759999999997,20.356453,26.598490005719995,35.62414466041094
2019-01-03,27.3,26.788643,30.285475,20.797358,26.491211770502982,35.747379870409816
2019-01-04,26.9,28.086271000000004,34.008186,25.730795,27.563888534338087,35.37113166145872
2019-01-05,29.4,28.341724,36.844913,34.376971999999995,27.134836270001827,35.88273516595926
2019-01-06,32.0,28.533161,42.461983000000004,38.98288,29.81601622295919,36.58792836221945
2019-01-08,32.2,28.86024,49.51538,30.432138000000002,32.60345658607782,36.51109445868712
2019-01-09,28.4,30.340113,54.479004,39.35928,32.81783571516922,36.669729060939375
2019-01-10,27.1,29.31131,54.56064,59.092648,28.743656499571525,36.651402693683316
2019-01-11,26.6,28.995203000000004,51.746970000000005,65.37275,27.34936656570325,36.128760655224994
2019-01-12,26.8,28.122248,47.61508,58.674767,26.813033470754515,36.49598871538721
2019-01-13,24.7,27.761875,44.48431,39.43761,27.0275695535896,37.05268927024004
2019-01-15,24.8,25.665857,44.894936,25.172329,24.774603977803412,36.34283189855002
2019-01-16,25.9,24.89786,49.497375,20.178282,24.881909835550534,36.30946394394838
2019-01-17,26.8,25.210815,53.08506,23.857670000000002,26.06210105981704,36.1203219623991
2019-01-18,27.8,25.089891,53.32743000000001,42.203334999999996,27.0275695535896,35.44107399572135
2019-01-19,29.3,27.170422,52.29605,46.566753000000006,28.10016765514563,35.654071700212434
2019-01-20,33.1,28.400872999999997,50.240673,46.68335,29.70878011162838,36.06738339383561
2019-01-22,33.0,30.767813,48.845562,42.755559999999996,33.78246771743805,35.43531207687005
2019-01-23,29.3,31.78177,48.88895,36.82737,33.67528503934846,35.36343301055996
2019-01-24,29.1,31.468103000000003,46.42536,27.999695000000003,29.70878011162838,35.14182677665721
2019-01-25,25.9,30.713095000000003,47.002213,28.56253,29.49432377856987,34.45293676130489
2019-01-26,23.6,30.212044,46.30832,26.411540000000002,26.06210105981704,34.68339050607125
2019-01-27,24.2,27.348692,41.555859999999996,23.857788,23.594217017047143,35.1444442380845
2019-01-29,25.6,26.243595000000003,43.40222,21.486069,24.23809035055067,34.32934447407868
2019-01-30,26.6,26.622290000000003,44.042965,18.993364,25.740247555307,34.3150421378225
2019-01-31,25.6,27.743890000000004,48.720673,17.970581,26.813033470754515,34.18513705988271
2019-02-01,24.0,27.964717999999998,52.547264,21.307978,25.740247555307,33.58077137161638
2019-02-02,22.8,26.24148,54.00768299999999,24.571807999999997,24.02347156526538,33.90409075278524
2019-02-03,24.6,25.632416,51.88836,33.710335,22.73562789890096,34.46828230556568
2019-02-04,27.6,25.352273999999998,55.167538,27.630221999999996,24.667310577268186,
2019-02-10,24.9,27.393553000000004,55.317772,26.972534000000003,27.885662382398323,34.990958544609406
2019-02-11,25.8,25.307904999999998,54.176353000000006,25.253004,24.989215306047978,34.87886822539076
2019-02-12,25.0,25.670134,56.444263,28.133114000000003,25.954816913087946,34.753820843530264
2019-02-14,25.8,25.907532,49.504364,35.179672,25.09650880919485,34.87802160899831
2019-02-15,28.5,26.553565999999996,46.228294,51.533004999999996,25.954816913087946,34.38781199818866
2019-02-16,28.9,28.808940000000003,46.855971999999994,65.87562,28.8508977539574,34.80288388012881
2019-02-17,27.2,29.972472999999997,52.405075,61.867596,29.279852576731486,35.40606206749203
2019-02-18,23.6,29.588583,50.547123,56.719069999999995,27.45662585354464,35.12470224876997
2019-02-19,20.7,27.807634000000004,51.74899,58.72605,23.594217017047143,34.96696524349281
2019-02-22,19.8,25.804428,48.78148,46.806374,20.173227070514862,34.648145208851545
2019-02-23,17.4,23.605032,48.384933000000004,38.2145,19.192383811178523,35.071997736907626
2019-02-24,16.3,21.533754000000002,40.203196999999996,22.925307999999998,16.57592413688078,35.70656664164386
2019-02-26,17.8,18.798716,35.014004,17.384447,15.376290414364972,34.6432110126503
2019-02-27,20.4,18.652811,33.89877,17.12651,17.012090190600155,34.85081861140328
2019-02-28,20.8,20.17418,36.206066,23.686487,19.846301403785773,34.875244317411386
2019-03-01,19.6,21.418024,37.333915999999995,26.541134000000003,20.282198561435013,34.38376993879872
2019-03-02,19.8,21.788242,36.07243,19.45893,18.974393872049006,34.837252630781286
2019-03-03,20.9,21.708832,38.946938,18.363113000000002,19.192383811178523,35.519192455668225
2019-03-05,21.1,21.457667999999998,44.025307,20.08355,20.391168901015337,34.854893178007394
2019-03-06,21.4,22.19973,50.177006,20.893513000000002,20.609100826148048,35.077504742846806
2019-03-07,22.7,21.280642999999998,45.521366,22.005138,20.93598287099359,35.14635998569134
2019-03-08,22.4,22.439747,44.506859999999996,24.030529,22.628290927624768,34.73536390337594
2019-03-09,23.4,23.068388,36.714687,35.169395,22.306295650355462,35.23311656597471
2019-03-10,25.6,22.299107,32.923233,39.946384,23.37957946236982,35.95123294124154
2019-03-12,26.1,23.967854,32.927475,42.148952,25.740247555307,36.07387569216725
2019-03-13,29.1,25.35738,35.628547999999995,36.97339,26.27665773331696,36.255993853255326
2019-03-14,29.3,27.951727,40.789229999999996,34.32072,29.49432377856987,36.2907382090546
2019-03-15,30.7,29.835459999999998,46.913579999999996,34.997868,29.70878011162838,35.8189660477814
2019-03-16,30.1,31.390318,52.353333,31.359476,31.20985448801059,36.23638639970896
2019-03-17,30.4,31.729003999999996,53.134174,34.437412,30.56657445596705,36.855939898764014
