date,Price_6,LSTM1_6,LSTM2_6,LSTM2_fs_6,ARIMA_6,Prophet_6
2019-01-01,48.40000000000001,150.23064,38.743520000000004,66.53056,44.16804796811754,55.28153031958161
2019-01-02,45.3,111.25854,40.09643,75.17813000000001,46.25538693782879,52.37588916814432
2019-01-03,43.1,80.68927,34.68598,78.73141,47.99281851381004,52.31760811332246
2019-01-04,36.1,40.329384000000005,33.22503,70.60794,48.387945470827816,53.03618512988653
2019-01-05,35.90000000000001,30.880470000000003,34.79858,67.47386999999999,48.82644408512096,52.049218849130796
2019-01-06,35.8,46.044945,36.169647,74.17335,49.34288135205304,49.06691036227624
2019-01-08,40.2,46.999953999999995,39.711506,74.73239000000001,49.78884191574053,44.28871074552805
2019-01-09,36.7,26.729972999999998,45.562717,69.87273,41.65261795087777,40.79409033720949
2019-01-10,37.40000000000001,30.676163,37.803898,94.31354,42.92562982922329,40.21929285362919
2019-01-11,37.40000000000001,31.568015999999997,41.398303999999996,115.67376000000002,44.001801539052636,40.4713286732597
2019-01-12,35.7,50.223396,39.15633,123.63600000000001,45.1329827815941,39.13270314951941
2019-01-13,40.6,55.5538,39.871025,93.64661,45.57125971643322,35.909696142363636
2019-01-15,49.8,49.670868,49.280809999999995,94.371994,45.88900130308591,35.182548701437675
2019-01-16,45.6,40.379684000000005,66.59716999999999,123.07609599999999,46.36969210456179,31.71924174256761
2019-01-17,38.2,55.798793999999994,77.66804499999999,179.81128,44.646796869040735,31.282166776413288
2019-01-18,37.1,38.98597,86.4533,206.63971,46.35153462161032,31.79805866349213
2019-01-19,38.40000000000001,46.117226,99.02404,185.95227,47.66863703105213,30.78623274840541
2019-01-20,33.40000000000001,46.17634,107.10100600000001,134.54706000000002,46.78784563636447,27.993405904994297
2019-01-22,37.5,52.82702,117.480255,112.87031,47.207743717788645,26.883216129569483
2019-01-23,36.5,57.561985,124.24611999999999,98.736435,48.01747085109014,24.02897542041541
2019-01-24,37.1,66.44579,90.04406,97.53962,48.47479036570206,24.24728599051389
2019-01-25,41.8,80.24761,81.89354,118.34508500000001,38.344848197857644,25.4499876992695
2019-01-26,44.40000000000001,74.4534,63.764038,99.29587,40.70224560535701,25.191019526295943
2019-01-27,43.90000000000001,81.88681,89.55528000000001,117.89056399999998,41.35821023580292,23.13092444947803
2019-01-29,47.2,88.94084000000001,143.84351999999998,104.50397,42.026153433280676,24.60979316152677
2019-01-30,48.0,96.23895,173.4517,82.37661999999999,42.96440343164076,22.57262644200558
2019-01-31,58.1,96.491325,127.980774,66.131,43.56107810652244,23.569731343752466
2019-02-01,75.7,91.200485,120.53671999999999,66.77476999999999,44.06712320957078,25.52843622094436
2019-02-02,103.0,72.162056,117.95533,72.0428,73.12433657346213,25.93207268259844
2019-02-03,105.2,64.07585,144.26706000000001,101.49273000000001,68.02208867179881,24.48338981985766
2019-02-04,71.19999999999997,69.6785,99.96883000000001,84.33362,66.74797783470414,
2019-02-10,67.5,75.13633,72.797455,66.74361400000001,67.1861414113198,29.282894012215838
2019-02-11,54.3,66.2578,73.1535,68.73063,64.67788727493246,26.621734729070287
2019-02-12,48.3,52.244316,58.17601,69.572556,63.53331659332105,28.32474930615316
2019-02-14,44.1,29.970238000000002,58.384853,90.08272,63.81846106306588,27.31813391009299
2019-02-15,46.2,21.783485,48.690804,92.771866,50.061996902366026,29.020000653988124
2019-02-16,48.90000000000001,47.97853,49.667965,106.47318999999999,51.539977080013244,29.00567616656617
2019-02-17,50.3,51.818290000000005,40.207592,97.56818,54.356122771528064,27.10204080614462
2019-02-18,48.90000000000001,47.682045,37.3076,114.51831000000001,56.52084525229308,23.997216694596766
2019-02-19,56.3,51.375282,38.384174,141.03746,57.48705299063579,27.627914827711987
2019-02-22,55.8,50.08136,38.365093,158.8778,58.09142562082243,26.07476671334065
2019-02-23,58.1,53.287224,37.53833,155.82092,58.43745541667964,25.32122664088286
2019-02-24,63.60000000000001,40.168921999999995,39.953865,150.4763,57.49069695537611,22.585724441630827
2019-02-26,57.10000000000001,82.476135,39.863228,141.27261000000001,57.70958349450788,22.27450560016341
2019-02-27,59.29999999999999,70.50336999999999,43.193405,144.42391999999998,56.97170365248307,18.964943904163068
2019-02-28,59.00000000000001,73.73872,55.57028199999999,145.32713,57.115227723693636,18.648013791217736
2019-03-01,65.7,68.685684,54.050087,118.9584,57.132431686117535,19.268736594112138
2019-03-02,64.1,57.403942,46.53999,78.98878,57.21152032130856,18.175562745636352
2019-03-03,66.70000000000002,69.245544,37.909298,64.50610999999999,57.567771358666675,15.18934800768608
2019-03-05,64.0,72.26647,40.71117,63.617596,65.85435890317565,16.362864107083794
2019-03-06,60.1,87.89469,43.406185,91.63486,65.01168397002121,13.080131358984403
2019-03-07,58.0,87.16664,45.93197,99.14668,64.35282166223892,12.770426069136882
2019-03-08,61.99999999999999,89.75055,45.729009999999995,94.39819,64.32157275293585,13.420044952908626
2019-03-09,73.3,108.262794,52.375626000000004,112.19191000000001,64.03279932397268,12.480741117309435
2019-03-10,97.5,116.021194,51.167873,109.77958000000001,64.00093667185959,9.712279094059642
2019-03-12,64.4,131.26641999999998,59.44348000000001,97.17636,64.28135534902964,9.901975888614713
2019-03-13,66.2,66.63138000000001,56.693073,88.00918,59.28640178048495,7.0352021374911775
2019-03-14,71.9,46.207832,50.433567,86.609695,63.05112241833724,7.169496329277322
2019-03-15,68.5,32.392525,41.105564,91.54527,66.87993402241133,8.272078636733895
2019-03-16,65.0,32.422394,44.28998,78.18893,61.378704222780506,7.844445869369434
