date,3_day_return,3_day_return_pred
2019-01-01,39.037433155080215,19.97637
2019-01-02,64.73684210526315,48.81433
2019-01-03,40.46511627906977,22.32859
2019-01-04,16.923076923076906,-14.574517
2019-01-05,-4.792332268370601,-27.266829
2019-01-06,12.251655629139082,-31.85055
2019-01-08,8.881578947368428,-10.124888
2019-01-09,6.040268456375841,-25.187807
2019-01-10,-16.814159292035402,-18.442402
2019-01-11,-22.054380664652577,-26.61737
2019-01-12,-20.88607594936709,-19.77334
2019-01-13,-12.765957446808507,-2.6610117
2019-01-15,0.7751937984496138,-1.3439878
2019-01-16,6.400000000000006,-13.385387
2019-01-17,4.471544715447152,16.573168
2019-01-18,1.923076923076916,23.237593
2019-01-19,-1.1278195488721783,66.649765
2019-01-20,5.058365758754868,66.90789
2019-01-22,9.433962264150944,50.86727
2019-01-23,13.688212927756636,1.9112623
2019-01-24,2.592592592592591,22.366156
2019-01-25,-7.241379310344831,53.281063
2019-01-26,-12.374581939799334,49.856476
2019-01-27,-5.776173285198549,38.359867
2019-01-29,-10.408921933085491,17.890734
2019-01-30,2.6717557251908275,34.888603
2019-01-31,4.214559386973171,45.718735
2019-02-01,22.821576763485485,43.675217
2019-02-02,-6.691449814126383,-35.10028
2019-02-03,-10.661764705882348,-18.63202
2019-02-04,19.594594594594586,20.30589
2019-02-10,-17.131474103585663,18.659546
2019-02-11,-23.868312757201647,-30.618994
2019-02-12,-63.5593220338983,-24.58664
2019-02-14,-1.4423076923076985,-39.88936
2019-02-15,18.37837837837837,20.697393
2019-02-16,87.5968992248062,47.039433
2019-02-17,-0.4878048780487918,33.438553
2019-02-18,-12.328767123287664,-40.15424
2019-02-19,-13.636363636363635,-51.31576
2019-02-22,8.333333333333348,-5.741167
2019-02-23,4.166666666666674,71.35894
2019-02-24,-6.698564593301425,43.03658
2019-02-26,7.692307692307688,6.5751915
2019-02-27,7.499999999999996,12.533235
2019-02-28,43.07692307692307,36.27886
2019-03-01,26.890756302520998,16.027735
2019-03-02,25.58139534883721,9.0691805
2019-03-03,-1.433691756272393,1.233356
2019-03-05,-10.26490066225165,-7.040429
2019-03-06,-2.222222222222225,-33.90711
2019-03-07,-9.45454545454546,-10.450188
2019-03-08,5.535055350553497,49.96735
2019-03-09,53.40909090909092,63.474316
2019-03-10,53.012048192771104,42.956356
2019-03-12,22.37762237762237,13.719566
2019-03-13,-22.962962962962962,-2.0195513
2019-03-14,-12.598425196850405,8.84235
2019-03-15,-12.571428571428564,11.686018
2019-03-16,-15.705128205128203,25.683846
2019-03-17,-16.51651651651651,28.27907
2019-03-19,-0.6535947712418386,9.009173
2019-03-20,16.349809885931553,7.8244867
2019-03-21,10.791366906474819,-2.1939187
2019-03-22,-7.236842105263152,5.386427
2019-03-23,-3.594771241830075,-29.366411
2019-03-24,-12.337662337662335,-35.6673
2019-03-26,10.283687943262422,20.709908
2019-03-27,1.3559322033898311,45.56335
2019-03-28,13.333333333333332,43.857445
2019-03-29,-4.8231511254019255,12.107543
2019-03-30,-7.023411371237453,-8.136255
2019-03-31,1.6339869281045694,-26.118431
2019-04-02,6.0810810810810745,-27.030367
2019-04-03,14.028776978417268,-3.5921655
2019-04-04,6.109324758842449,5.253916
2019-04-07,22.292993630573243,-5.4292502
2019-04-09,5.6782334384858135,39.56791
2019-04-10,-0.6060606060606106,24.281315
2019-04-11,-24.21874999999999,-19.285433
2019-04-12,-17.014925373134325,-42.57463
2019-04-13,-7.62195121951218,-60.38879
2019-04-14,16.838487972508574,-9.962311
2019-04-16,12.23021582733812,0.15997887
2019-04-17,0.990099009900991,-27.640326
2019-04-18,3.8235294117646923,12.810781
2019-04-19,13.461538461538458,14.002896
2019-04-20,17.32026143790847,-47.984856
2019-04-21,1.9830028328611915,29.441858
2019-04-23,0.0,26.296513
2019-04-24,-18.66295264623955,-27.655207
2019-04-25,-21.94444444444445,-45.955227
2019-04-26,-21.751412429378533,-50.308216
2019-04-27,-3.4246575342465784,-44.96709
2019-04-28,-19.928825622775808,-31.696966
2019-04-30,-12.274368231046925,-1.2715551
2019-05-01,-13.475177304964545,-23.127176
2019-05-02,23.999999999999996,47.91104
2019-05-03,29.629629629629626,8.6539
2019-05-04,41.39344262295084,-8.8262005
2019-05-05,25.44802867383513,-15.130494
2019-05-07,5.079365079365084,14.948893
2019-05-08,0.8695652173912993,-16.15465
2019-05-09,-15.428571428571425,-2.2730365
2019-05-10,-32.02416918429003,-45.19755
2019-05-11,-38.79310344827587,-1.4949981
2019-05-12,-23.31081081081081,-12.255535
2019-05-14,11.999999999999993,-45.624584
2019-05-15,20.65727699530516,-19.576138
2019-05-17,11.89427312775331,3.1620245
2019-05-18,-0.39682539682538454,2.5021324
2019-05-19,16.731517509727635,-44.359222
2019-05-21,14.566929133858284,-31.032251
2019-05-22,44.223107569721115,-0.900684
2019-05-23,30.666666666666693,11.947478
2019-05-24,27.147766323024047,-22.583069
2019-05-25,-4.972375690607744,-27.251463
2019-05-26,-26.27551020408164,-59.927654
2019-05-28,-24.05405405405405,-31.34115
2019-05-29,-15.98837209302326,-57.254242
2019-05-30,25.951557093425606,-16.660406
2019-05-31,31.316725978647675,-15.34829
2019-06-01,31.14186851211073,-18.383337
2019-06-02,4.395604395604402,-45.189686
2019-06-04,19.241192411924125,-18.646782
2019-06-05,24.274406332453847,-14.831704
2019-06-06,27.89473684210526,-0.6684381
2019-06-07,12.27272727272728,22.293127
2019-06-08,-17.834394904458595,2.17914
2019-06-11,-27.572016460905342,-48.84735
2019-06-12,-41.70040485829959,-73.97819
