date,Price,Price_pred
2019-09-04,45.9,55.635887
2019-09-05,64.1,68.96456
2019-09-06,61.1,67.98752
2019-09-07,44.2,63.851883
2019-09-08,64.4,61.848175
2019-09-10,50.0,51.302734
2019-09-11,44.8,59.862183
2019-09-12,37.5,59.39119
2019-09-13,40.4,60.72354
2019-09-18,37.3,52.50804
2019-09-19,31.7,49.889866
2019-09-20,28.4,52.03302
2019-09-21,41.1,51.768265
2019-09-22,32.2,49.683193
2019-09-24,43.7,42.712635
2019-09-25,47.7,38.94089
2019-09-26,46.7,39.47887
2019-09-27,40.1,41.75301
2019-09-28,39.0,43.444008
2019-09-29,46.0,47.230522
2019-10-01,39.4,50.648182
2019-10-02,27.3,53.23509
2019-10-03,35.7,64.11447
2019-10-05,50.5,60.75106
2019-10-06,41.5,65.38633
2019-10-08,43.1,59.47297
2019-10-09,37.6,43.43535
2019-10-10,42.7,43.228687
2019-10-11,34.5,48.67987
2019-10-12,33.9,47.18222
2019-10-13,39.2,46.618362
2019-10-15,37.3,41.879494
2019-10-16,35.7,36.071587
2019-10-18,40.2,37.033684
2019-10-19,35.1,42.292774
2019-10-20,38.3,40.44576
2019-10-22,37.3,39.251827
2019-10-23,30.6,39.79246
2019-10-24,22.9,36.734528
2019-10-25,24.2,34.789776
2019-10-26,28.199999999999996,34.60183
2019-10-27,27.4,34.14668
2019-10-29,31.0,34.93888
2019-10-30,32.1,34.282303
2019-10-31,35.2,32.315796
2019-11-01,34.1,38.538914
2019-11-02,34.7,37.85819
2019-11-03,32.1,40.668808
2019-11-05,34.1,42.453964
2019-11-06,32.5,41.295063
2019-11-07,33.3,39.625233
2019-11-08,34.1,40.94556
2019-11-09,33.5,34.437046
2019-11-10,35.1,35.203964
2019-11-12,38.6,38.357353
2019-11-13,35.2,36.03389
2019-11-15,36.2,34.8826
2019-11-16,34.1,36.646828
2019-11-17,35.4,32.165894
2019-11-19,34.1,27.991123
2019-11-20,33.0,29.49588
2019-11-21,33.6,34.725857
2019-11-22,34.7,37.311317
2019-11-23,39.4,38.312035
2019-11-24,42.1,39.84737
2019-11-26,33.6,40.252533
2019-11-27,46.4,40.46372
2019-11-28,42.0,40.93867
2019-11-29,40.4,39.44818
2019-11-30,37.5,43.178608
2019-12-01,36.7,45.704613
2019-12-03,36.5,40.005875
2019-12-04,33.7,43.17556
2019-12-05,34.8,46.30982
2019-12-06,47.7,52.61917
2019-12-07,45.4,47.763454
2019-12-08,47.7,35.925213
2019-12-10,40.8,49.629635
2019-12-11,41.1,55.83999
2019-12-12,38.2,51.507275
2019-12-13,39.0,52.256348
2019-12-14,39.5,44.217964
2019-12-15,38.9,40.66761
2019-12-17,34.4,36.43448
2019-12-18,35.8,34.14102
2019-12-19,36.4,38.777397
2019-12-20,33.8,34.76289
2019-12-21,34.9,35.813435
2019-12-22,33.5,32.74143
2019-12-24,35.6,31.654945
2019-12-25,39.9,33.132847
2019-12-26,43.0,34.891056
2019-12-27,44.2,38.152313
2019-12-28,43.1,35.968067
2019-12-29,41.3,38.46747
